Id,Name,Duration,CalcPrio,LastRunPrevious,LastResults,Verdict,Cycle,CommitMessage,LastFiles,Project,DataSource,ImageTag,CommitSHA,TestType
1,org.traccar.test.EdgeTest005#testEdgeCase,0.200s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File5.java', 'src/test/java/traccar/test/EdgeTest005.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Edge
2,org.traccar.test.EdgeTest012#testEdgeCase,0.340s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File12.java', 'src/test/java/traccar/test/EdgeTest012.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Edge
3,org.traccar.test.EdgeTest019#testEdgeCase,0.480s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File19.java', 'src/test/java/traccar/test/EdgeTest019.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Edge
4,org.traccar.test.IntegrationTest001#testIntegrationCase,1.120s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File1.java', 'src/test/java/traccar/test/IntegrationTest001.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Integration
5,org.traccar.test.IntegrationTest008#testIntegrationCase,1.260s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File8.java', 'src/test/java/traccar/test/IntegrationTest008.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Integration
6,org.traccar.test.IntegrationTest015#testIntegrationCase,1.400s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File15.java', 'src/test/java/traccar/test/IntegrationTest015.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Integration
7,org.traccar.test.PerformanceTest003#testPerformanceCase,3.400s,0,2015-11-30 21:48,[0],1,1,Rename CORS response filter,"['src/main/java/traccar/core/File3.java', 'src/test/java/traccar/test/PerformanceTest003.java', 'src/main/java/traccar/util/Helper3.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Performance
8,org.traccar.test.PerformanceTest010#testPerformanceCase,3.300s,0,2015-11-30 21:48,[1],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File10.java', 'src/test/java/traccar/test/PerformanceTest010.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Performance
9,org.traccar.test.PerformanceTest017#testPerformanceCase,4.100s,0,2015-11-30 21:48,[0],1,1,Rename CORS response filter,"['src/main/java/traccar/core/File17.java', 'src/test/java/traccar/test/PerformanceTest017.java', 'src/main/java/traccar/util/Helper17.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Performance
10,org.traccar.test.RegressionTest004#testRegressionCase,0.180s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File4.java', 'src/test/java/traccar/test/RegressionTest004.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Regression
