Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_basic_history_only_smote,0.9167604124815857,0.7099607456821175,0.005551700208188758,23954,3,0.08421052631578947,0.17894736842105263,0.3157894736842105,0.5157894736842106,0.8,0.85,0.6,0.49,89,854,1853,8637
ML_dual_branch_files_only_smote,0.9122825279715597,0.7615475142117178,0.005551700208188758,669,1,0.08421052631578947,0.16842105263157894,0.28421052631578947,0.4105263157894737,0.8,0.8,0.54,0.39,109,1427,1967,6839
ML_dual_branch_combined_smote,0.898884181306841,0.7589965398677136,0.005551700208188758,605,1,0.09473684210526316,0.18947368421052632,0.3157894736842105,0.3894736842105263,0.9,0.9,0.6,0.37,488,1326,1968,7184
ML_enhanced_combined_smote,0.8948774608276416,0.794049352935941,0.005551700208188758,99264,1,0.07368421052631578,0.16842105263157894,0.3157894736842105,0.5578947368421052,0.7,0.8,0.6,0.53,90,1094,3443,5730
ML_enhanced_commit_only_smote,0.8885137027161937,0.7760671789653787,0.005551700208188758,642,1,0.10526315789473684,0.14736842105263157,0.28421052631578947,0.5368421052631579,1.0,0.7,0.54,0.51,89,1700,2651,8357
ML_dual_branch_concatenated_smote,0.8751457930043708,0.7615041617845455,0.005551700208188758,647,1,0.10526315789473684,0.18947368421052632,0.3157894736842105,0.5263157894736842,1.0,0.9,0.6,0.5,79,1533,2785,8519
ML_enhanced_combined_class_weights,0.864562255743453,0.7544768071873632,0.005551700208188758,202018,2,0.031578947368421054,0.10526315789473684,0.2736842105263158,0.5368421052631579,0.3,0.5,0.52,0.51,86,1310,3578,7547
ML_basic_history_only_class_weights,0.8607259822004699,0.7168332692868632,0.005551700208188758,724,1,0.09473684210526316,0.2,0.4105263157894737,0.5157894736842106,0.9,0.95,0.78,0.49,83,494,3703,8636
ML_dual_branch_commit_only_smote,0.8504443795122782,0.7622382955142488,0.005551700208188758,642,1,0.10526315789473684,0.2,0.3368421052631579,0.5052631578947369,1.0,0.95,0.64,0.48,88,1911,4616,8161
ML_enhanced_commit_only_class_weights,0.8327580749236033,0.738186800990477,0.005551700208188758,104421,2,0.06315789473684211,0.14736842105263157,0.3157894736842105,0.5473684210526316,0.6,0.7,0.6,0.52,83,1777,5584,8331
ML_dual_branch_commit_only_class_weights,0.821688763894469,0.7454805675558409,0.005551700208188758,79692,3,0.05263157894736842,0.10526315789473684,0.3473684210526316,0.5157894736842106,0.5,0.5,0.66,0.49,76,1118,7177,8646
ML_enhanced_concatenated_class_weights,0.8128462203391894,0.7367364675649514,0.005551700208188758,660,1,0.07368421052631578,0.11578947368421053,0.30526315789473685,0.5157894736842106,0.7,0.55,0.58,0.49,95,3104,5287,7517
ML_enhanced_files_only_class_weights,0.8038040103729136,0.7000487921585323,0.005551700208188758,647,1,0.07368421052631578,0.12631578947368421,0.2736842105263158,0.5368421052631579,0.7,0.6,0.52,0.51,90,1980,6268,8520
ML_enhanced_files_only_smote,0.8013812289224101,0.7158162382996488,0.005551700208188758,692,1,0.06315789473684211,0.10526315789473684,0.3684210526315789,0.5052631578947369,0.6,0.5,0.7,0.48,93,1986,8210,8588
ML_enhanced_concatenated_smote,0.7952646188684759,0.7241893369045483,0.005551700208188758,660,1,0.10526315789473684,0.18947368421052632,0.3473684210526316,0.5368421052631579,1.0,0.9,0.66,0.51,88,3562,6452,7479
ML_dual_branch_concatenated_class_weights,0.7809117693609458,0.7195624590213274,0.005551700208188758,653,1,0.10526315789473684,0.18947368421052632,0.4,0.5157894736842106,1.0,0.9,0.76,0.49,79,3076,7708,8627
ML_dual_branch_combined_class_weights,0.7733183583525086,0.7410937567404494,0.005551700208188758,154566,3,0.042105263157894736,0.05263157894736842,0.21052631578947367,0.5368421052631579,0.4,0.25,0.4,0.51,87,2083,7461,8645
ML_dual_branch_files_only_class_weights,0.7591615228216273,0.7269982178863881,0.005551700208188758,669,1,0.09473684210526316,0.18947368421052632,0.3368421052631579,0.5263157894736842,0.9,0.9,0.64,0.5,88,3480,7226,8577
Baseline_Recency,0.6128194358206411,0.6261201719122996,0.005551700208188758,34900,1,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.031578947368421054,0.1,0.05,0.04,0.03,2730,5634,5700,7415
Baseline_Priority_Value,0.5809799481354323,0.730420717175136,0.005551700208188758,0,1,0.10526315789473684,0.2,0.37894736842105264,0.5263157894736842,1.0,0.95,0.72,0.5,85,8437,8567,8592
Baseline_Random,0.49956962148605377,0.5026971230542144,0.005551700208188758,324897,66,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.02,4178,6214,7665,8436
Baseline_Historical,0.3884041296857689,0.3744001326505611,0.005551700208188758,7392447,1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5846,6953,7829,8591
Baseline_Duration,0.2184186176753473,0.6522935988416194,0.005551700208188758,0,1,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.4,0.2,0.08,0.04,7553,8524,8538,8616
