Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_enhanced_files_only_class_weights,0.9194826935485835,0.8138469524653829,0.005551700208188758,724,1,0.08421052631578947,0.16842105263157894,0.3263157894736842,0.5263157894736842,0.8,0.8,0.62,0.5,83,370,1665,7140
ML_basic_history_only_smote,0.9167604124815857,0.7099607456821175,0.005551700208188758,23954,3,0.08421052631578947,0.17894736842105263,0.3157894736842105,0.5157894736842106,0.8,0.85,0.6,0.49,89,854,1853,8637
ML_dual_branch_combined_class_weights,0.9138165503975066,0.7879812552646053,0.005551700208188758,79568,4,0.031578947368421054,0.07368421052631578,0.2736842105263158,0.5368421052631579,0.3,0.35,0.52,0.51,83,948,2957,4977
ML_enhanced_concatenated_smote,0.9051736732532233,0.7820775284297958,0.005551700208188758,647,1,0.07368421052631578,0.15789473684210525,0.30526315789473685,0.49473684210526314,0.7,0.75,0.58,0.47,93,898,1692,7462
ML_enhanced_combined_class_weights,0.904138816854767,0.7954130040038503,0.005551700208188758,647,1,0.06315789473684211,0.14736842105263157,0.30526315789473685,0.5368421052631579,0.6,0.7,0.58,0.51,90,927,2691,8002
ML_dual_branch_files_only_smote,0.8997461558128493,0.7888580178059235,0.005551700208188758,647,1,0.10526315789473684,0.2,0.2736842105263158,0.5368421052631579,1.0,0.95,0.52,0.51,94,1149,2120,7996
ML_dual_branch_combined_smote,0.8970299621364306,0.7758667277412182,0.005551700208188758,692,1,0.10526315789473684,0.18947368421052632,0.3157894736842105,0.4842105263157895,1.0,0.9,0.6,0.46,107,1145,2851,5081
ML_dual_branch_commit_only_class_weights,0.8878026954965484,0.7687961218961802,0.005551700208188758,652,1,0.07368421052631578,0.15789473684210525,0.37894736842105264,0.5263157894736842,0.7,0.75,0.72,0.5,84,421,4004,8503
ML_enhanced_combined_smote,0.870666691016229,0.7577753294671365,0.005551700208188758,605,1,0.031578947368421054,0.09473684210526316,0.29473684210526313,0.5157894736842106,0.3,0.45,0.56,0.49,91,1520,3818,6450
ML_basic_history_only_class_weights,0.8607259822004699,0.7168332692868632,0.005551700208188758,724,1,0.09473684210526316,0.2,0.4105263157894737,0.5157894736842106,0.9,0.95,0.78,0.49,83,494,3703,8636
ML_enhanced_concatenated_class_weights,0.8564903758354944,0.772697997594952,0.005551700208188758,104851,2,0.05263157894736842,0.14736842105263157,0.3157894736842105,0.5473684210526316,0.5,0.7,0.6,0.52,90,1462,5820,8323
ML_dual_branch_concatenated_smote,0.8451666118801514,0.7281263362644067,0.005551700208188758,678,1,0.09473684210526316,0.2,0.30526315789473685,0.3684210526315789,0.9,0.95,0.58,0.35,172,1920,4608,8646
ML_dual_branch_concatenated_class_weights,0.8443935132765988,0.748392825482549,0.005551700208188758,653,1,0.09473684210526316,0.18947368421052632,0.3894736842105263,0.5157894736842106,0.9,0.9,0.74,0.49,79,1986,5300,8637
ML_dual_branch_commit_only_smote,0.8435668456359497,0.7348521047545864,0.005551700208188758,653,1,0.08421052631578947,0.18947368421052632,0.3684210526315789,0.5052631578947369,0.8,0.9,0.7,0.48,90,2077,5122,8584
ML_enhanced_files_only_smote,0.8198625467207227,0.692965537331973,0.005551700208188758,605,1,0.09473684210526316,0.18947368421052632,0.30526315789473685,0.5052631578947369,0.9,0.9,0.58,0.48,85,2005,5811,8356
ML_enhanced_commit_only_class_weights,0.8061257411398031,0.7172437119150461,0.005551700208188758,318474,4,0.05263157894736842,0.1368421052631579,0.3157894736842105,0.5473684210526316,0.5,0.65,0.6,0.52,82,2706,6067,8584
ML_enhanced_commit_only_smote,0.8035081631907667,0.7142150073395465,0.005551700208188758,656,1,0.09473684210526316,0.15789473684210525,0.30526315789473685,0.5157894736842106,0.9,0.75,0.58,0.49,94,3045,6969,7892
ML_dual_branch_files_only_class_weights,0.7953827142457114,0.7722242204080206,0.005551700208188758,730,1,0.10526315789473684,0.18947368421052632,0.4,0.5473684210526316,1.0,0.9,0.76,0.52,82,2150,6075,8643
Baseline_Recency,0.6128194358206411,0.6261201719122996,0.005551700208188758,34900,1,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.031578947368421054,0.1,0.05,0.04,0.03,2730,5634,5700,7415
Baseline_Priority_Value,0.5809799481354323,0.730420717175136,0.005551700208188758,0,1,0.10526315789473684,0.2,0.37894736842105264,0.5263157894736842,1.0,0.95,0.72,0.5,85,8437,8567,8592
Baseline_Random,0.49956962148605377,0.5026971230542144,0.005551700208188758,324897,66,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.02,4178,6214,7665,8436
Baseline_Historical,0.3884041296857689,0.3744001326505611,0.005551700208188758,7392447,1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5846,6953,7829,8591
Baseline_Duration,0.2184186176753473,0.6522935988416194,0.005551700208188758,0,1,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.4,0.2,0.08,0.04,7553,8524,8538,8616
