Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_concatenated_smote,0.9146998166819431,0.9313888299720017,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,314,504,676,1614
ML_enhanced_concatenated_smote,0.9104866969702637,0.9320082093254357,0.06748395967002754,4847,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,462,739,1975
ML_enhanced_files_only_smote,0.9074290577825997,0.9336022973948727,0.06748395967002754,4833,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,483,654,1890
ML_basic_history_only_class_weights,0.9049571478453893,0.9188531028322993,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,441,723,3202
ML_basic_history_only_smote,0.9045393822056779,0.9194346887482167,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,444,701,3142
ML_dual_branch_files_only_smote,0.9029661360419511,0.9342352330440692,0.06748395967002754,8355,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,461,676,2421
ML_enhanced_concatenated_class_weights,0.9021508695137083,0.924172374051572,0.06748395967002754,3933,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,315,504,613,2789
ML_enhanced_commit_only_class_weights,0.9005296894193057,0.9232009107268643,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,357,546,739,2388
ML_dual_branch_commit_only_class_weights,0.8995659446179938,0.9153207784434869,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.07312925170068027,0.13435374149659865,1.0,1.0,0.86,0.79,336,504,718,2789
Baseline_Priority_Value,0.8992202747276729,0.945538965170641,0.06748395967002754,3933,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,441,655,3772
ML_dual_branch_files_only_class_weights,0.8952678688340597,0.9175338231288932,0.06748395967002754,4245,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,294,441,739,3906
ML_dual_branch_combined_class_weights,0.8902823503370184,0.911241675355441,0.06748395967002754,4803,1,0.017006802721088437,0.034013605442176874,0.07142857142857142,0.13435374149659865,1.0,1.0,0.84,0.79,357,525,873,2488
ML_dual_branch_commit_only_smote,0.8824889946812822,0.903103240651266,0.06748395967002754,4831,1,0.017006802721088437,0.034013605442176874,0.07142857142857142,0.13435374149659865,1.0,1.0,0.84,0.79,357,567,943,4143
ML_enhanced_files_only_class_weights,0.8824535313667171,0.9026767046270091,0.06748395967002754,4631,1,0.017006802721088437,0.034013605442176874,0.05102040816326531,0.13435374149659865,1.0,1.0,0.6,0.79,333,485,739,4355
ML_enhanced_combined_smote,0.8776683221409554,0.899376972040149,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.05952380952380952,0.13435374149659865,1.0,1.0,0.7,0.79,357,546,718,4084
ML_dual_branch_combined_smote,0.8708461157148468,0.8997135019257314,0.06748395967002754,3933,1,0.017006802721088437,0.034013605442176874,0.08503401360544217,0.17006802721088435,1.0,1.0,1.0,1.0,336,525,739,4008
ML_enhanced_commit_only_smote,0.8637904749434145,0.8833911781193847,0.06748395967002754,4485,1,0.017006802721088437,0.034013605442176874,0.04931972789115646,0.09863945578231292,1.0,1.0,0.58,0.58,357,545,907,4189
ML_enhanced_combined_class_weights,0.8633446504174538,0.8843022610682638,0.06748395967002754,4491,1,0.017006802721088437,0.034013605442176874,0.07142857142857142,0.09863945578231292,1.0,1.0,0.84,0.58,357,546,718,4058
ML_dual_branch_concatenated_class_weights,0.8621603315936823,0.8747516979970333,0.06748395967002754,22205,3,0.013605442176870748,0.02891156462585034,0.03231292517006803,0.09863945578231292,0.8,0.85,0.38,0.58,362,588,676,3917
Baseline_Historical,0.7765164269190719,0.7786102297613667,0.06748395967002754,339590,33,0.0,0.0,0.015306122448979591,0.04931972789115646,0.0,0.0,0.18,0.29,718,1070,2683,4352
Baseline_Duration,0.5458193818315593,0.8852836510867418,0.06748395967002754,1475094,1551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896,2076,2266,3764
Baseline_Random,0.5010942965637216,0.5003897976599675,0.06748395967002754,5064,1,0.0017006802721088435,0.003401360544217687,0.008503401360544218,0.02040816326530612,0.1,0.1,0.1,0.12,2214,3291,3898,4352
Baseline_Recency,0.20151775192203375,0.19397594420907735,0.06748395967002754,11776942,1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3670,4009,4220,4359
