Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_concatenated_class_weights,0.8966535008201675,0.7589212737175612,0.0006726812282367838,1662571,33,0.0,0.0,0.030303030303030304,0.3333333333333333,0.0,0.0,0.02,0.11,1033,3884,6635,12905
ML_enhanced_combined_class_weights,0.8888583124694236,0.737393319886249,0.0006726812282367838,1584668,33,0.0,0.0,0.21212121212121213,0.2727272727272727,0.0,0.0,0.14,0.09,1759,4275,5770,10395
ML_dual_branch_combined_class_weights,0.8848138315730908,0.7324503474055236,0.0006726812282367838,2357240,34,0.0,0.0,0.18181818181818182,0.42424242424242425,0.0,0.0,0.12,0.14,342,3380,6655,17308
ML_basic_history_only_class_weights,0.8693085892159966,0.70307436937854,0.0006726812282367838,896062,6,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.3333333333333333,0.1,0.1,0.16,0.11,579,4977,8162,18896
ML_dual_branch_commit_only_class_weights,0.8018809893809893,0.5714327652524953,0.0006726812282367838,3473921,67,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.11,1688,6916,10942,23840
ML_dual_branch_combined_smote,0.7775865252717105,0.7313104639467507,0.0006726812282367838,4789285,87,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,649,4020,20920,25272
ML_basic_history_only_smote,0.7669015655126765,0.6483148480173276,0.0006726812282367838,1131527,33,0.0,0.0,0.21212121212121213,0.2727272727272727,0.0,0.0,0.14,0.09,673,6755,18685,25263
ML_dual_branch_files_only_class_weights,0.745339793950905,0.4115988318925128,0.0006726812282367838,3372419,65,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.02,5608,8218,10118,18457
Baseline_Historical,0.7093495496273274,0.7045093647850809,0.0006726812282367838,43933862,1635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7997,8051,8058,19096
ML_enhanced_commit_only_class_weights,0.6803978771571364,0.5295122105170212,0.0006726812282367838,1852236,31,0.0,0.0,0.15151515151515152,0.21212121212121213,0.0,0.0,0.1,0.07,3926,11386,22246,24757
ML_enhanced_combined_smote,0.6447397766842211,0.5688108155011021,0.0006726812282367838,327438,5,0.09090909090909091,0.09090909090909091,0.12121212121212122,0.12121212121212122,0.3,0.15,0.08,0.04,6964,13358,22657,25209
ML_enhanced_files_only_class_weights,0.5448148387963203,0.4927764631498031,0.0006726812282367838,4908818,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10792,25231,25236,25240
ML_enhanced_concatenated_smote,0.5282831880054102,0.1714215724920881,0.0006726812282367838,335517610,1669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8522,21434,25129,25266
ML_enhanced_commit_only_smote,0.517475922568515,0.3332376102536996,0.0006726812282367838,43152253,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10191,20175,22792,25074
ML_dual_branch_commit_only_smote,0.5130153625523995,0.45474114270399363,0.0006726812282367838,9268873,84,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,7281,24929,25080,25272
Baseline_Random,0.4863179515957294,0.48676673416289595,0.0006726812282367838,18292617,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11133,19565,22815,25070
ML_dual_branch_concatenated_smote,0.46750805778583554,0.3042984132791475,0.0006726812282367838,1322525,31,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.02,0.01,7255,25108,25115,25228
Baseline_Priority_Value,0.45138529166306945,0.7621225602823272,0.0006726812282367838,388362,11,0.0,0.15151515151515152,0.3333333333333333,0.3333333333333333,0.0,0.25,0.22,0.11,19273,23164,23473,25272
ML_enhanced_files_only_smote,0.42224176714917455,0.2046495559427107,0.0006726812282367838,98930387,945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12055,24953,25236,25262
ML_enhanced_concatenated_class_weights,0.3044338206375244,0.2952489313003665,0.0006726812282367838,4793883,73,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,17269,25231,25236,25267
Baseline_Recency,0.2904238251460474,0.295084054091823,0.0006726812282367838,158476629,6148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17273,18950,21927,23573
ML_dual_branch_files_only_smote,0.24338410218039844,0.1805837627821028,0.0006726812282367838,1501064,29,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.02,0.01,25063,25231,25236,25240
Baseline_Duration,0.17565913167765015,0.6230080299410213,0.0006726812282367838,4282673,6384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22532,23460,24981,25272
