Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_combined_class_weights,0.8787309227124042,0.7308978144556446,0.0006726812282367838,2357240,34,0.0,0.0,0.30303030303030304,0.3333333333333333,0.0,0.0,0.2,0.11,638,2613,8601,14389
ML_basic_history_only_class_weights,0.8693085892159966,0.70307436937854,0.0006726812282367838,896062,6,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.3333333333333333,0.1,0.1,0.16,0.11,579,4977,8162,18896
ML_dual_branch_concatenated_class_weights,0.8535455456751753,0.6711162450251693,0.0006726812282367838,2326336,45,0.0,0.0,0.12121212121212122,0.3333333333333333,0.0,0.0,0.08,0.11,1824,4938,7199,18447
ML_dual_branch_commit_only_class_weights,0.8443690226097633,0.7126145961452691,0.0006726812282367838,2112520,35,0.0,0.0,0.2727272727272727,0.3333333333333333,0.0,0.0,0.18,0.11,868,4189,8077,21231
ML_enhanced_combined_class_weights,0.82503393383023,0.6648788392690304,0.0006726812282367838,1212007,18,0.0,0.030303030303030304,0.3333333333333333,0.3333333333333333,0.0,0.05,0.22,0.11,689,6490,13704,21783
ML_enhanced_commit_only_class_weights,0.7994288804473989,0.5793353688453018,0.0006726812282367838,2175538,33,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.22,0.11,3271,7312,11791,16505
ML_dual_branch_concatenated_smote,0.7931816982742909,0.7144454170787917,0.0006726812282367838,128085,2,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.30303030303030304,0.8,0.4,0.16,0.1,1909,4480,16330,25272
ML_dual_branch_commit_only_smote,0.773432928525521,0.741792811668537,0.0006726812282367838,201191,14,0.0,0.09090909090909091,0.12121212121212122,0.3333333333333333,0.0,0.15,0.08,0.11,499,4009,21016,25266
ML_basic_history_only_smote,0.7669015655126765,0.6483148480173276,0.0006726812282367838,1131527,33,0.0,0.0,0.21212121212121213,0.2727272727272727,0.0,0.0,0.14,0.09,673,6755,18685,25263
ML_dual_branch_combined_smote,0.7224422525348451,0.5813512518683005,0.0006726812282367838,1003820,19,0.0,0.030303030303030304,0.24242424242424243,0.2727272727272727,0.0,0.05,0.16,0.09,2392,11682,20741,24728
Baseline_Historical,0.7093495496273274,0.7045093647850809,0.0006726812282367838,43933862,1635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7997,8051,8058,19096
ML_enhanced_combined_smote,0.6708988028432472,0.6269715034205613,0.0006726812282367838,1118320,15,0.0,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.0,0.05,0.06,0.03,1976,14523,24662,25236
ML_enhanced_commit_only_smote,0.6510936765566395,0.4561369112371604,0.0006726812282367838,20286130,426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7040,12776,17979,22464
ML_dual_branch_files_only_class_weights,0.5596450017746314,0.26880723868877254,0.0006726812282367838,2582477,56,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,12533,13066,23143,23707
ML_enhanced_concatenated_smote,0.5212781902596717,0.29192297795712263,0.0006726812282367838,50836523,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7571,19539,20910,24767
Baseline_Random,0.4863179515957294,0.48676673416289595,0.0006726812282367838,18292617,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11133,19565,22815,25070
Baseline_Priority_Value,0.45138529166306945,0.7621225602823272,0.0006726812282367838,388362,11,0.0,0.15151515151515152,0.3333333333333333,0.3333333333333333,0.0,0.25,0.22,0.11,19273,23164,23473,25272
ML_dual_branch_files_only_smote,0.4143278703463889,0.28386228004481256,0.0006726812282367838,3347594,63,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,13578,25103,25108,25113
ML_enhanced_concatenated_class_weights,0.39877226682782235,0.23512830214454422,0.0006726812282367838,3296757,62,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.01,14988,22760,25236,25240
ML_enhanced_files_only_smote,0.33319484013928463,0.12973234145629428,0.0006726812282367838,114584761,854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15392,25103,25108,25112
ML_enhanced_files_only_class_weights,0.3130227968190931,0.21608205305788467,0.0006726812282367838,2117949,40,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.02,0.01,16243,25231,25236,25240
Baseline_Recency,0.2904238251460474,0.295084054091823,0.0006726812282367838,158476629,6148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17273,18950,21927,23573
Baseline_Duration,0.17565913167765015,0.6230080299410213,0.0006726812282367838,4282673,6384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22532,23460,24981,25272
