Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_basic_history_only_class_weights,0.923895518636046,0.7278615162661609,0.00048763409937732877,2455032,11,0.0,0.07894736842105263,0.18421052631578946,0.23684210526315788,0.0,0.15,0.14,0.09,225,654,4918,34229
ML_dual_branch_concatenated_class_weights,0.903031886400339,0.7423996749071078,0.00048763409937732877,4162845,7,0.05263157894736842,0.07894736842105263,0.10526315789473684,0.34210526315789475,0.2,0.15,0.08,0.13,188,6039,13914,19769
ML_enhanced_concatenated_class_weights,0.8169865133964472,0.7372323206339804,0.00048763409937732877,131,1,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.07894736842105263,0.1,0.05,0.06,0.03,3226,9629,19930,33813
ML_dual_branch_commit_only_class_weights,0.7992105723810891,0.675550622226817,0.00048763409937732877,1708834,17,0.0,0.05263157894736842,0.13157894736842105,0.2894736842105263,0.0,0.1,0.1,0.11,2395,8278,21790,30057
ML_enhanced_combined_class_weights,0.7790701653481024,0.7239946362232168,0.00048763409937732877,372270,3,0.07894736842105263,0.10526315789473684,0.18421052631578946,0.21052631578947367,0.3,0.2,0.14,0.08,6708,11308,23935,31493
ML_dual_branch_files_only_class_weights,0.775758070311441,0.6482588102665928,0.00048763409937732877,3858223,14,0.0,0.05263157894736842,0.18421052631578946,0.23684210526315788,0.0,0.1,0.14,0.09,4002,11379,38355,39666
ML_enhanced_concatenated_smote,0.7652117490204543,0.6414963846400717,0.00048763409937732877,131,1,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.1,0.05,0.02,0.01,6236,10666,23125,37622
ML_enhanced_commit_only_class_weights,0.7494593908061559,0.6415068734526724,0.00048763409937732877,6695332,17,0.0,0.02631578947368421,0.15789473684210525,0.15789473684210525,0.0,0.05,0.12,0.06,6908,10747,29440,38215
ML_basic_history_only_smote,0.739672488881811,0.5501564249899676,0.00048763409937732877,13894039,33,0.0,0.0,0.10526315789473684,0.21052631578947367,0.0,0.0,0.08,0.08,578,8219,39976,39988
Baseline_Historical,0.7060586398101584,0.7065300390824527,0.00048763409937732877,1558834,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9319,12478,30118,36603
ML_dual_branch_concatenated_smote,0.6923239417155508,0.6807179572147061,0.00048763409937732877,3862345,51,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.01,5528,15572,31399,39814
ML_enhanced_files_only_class_weights,0.6723006721585278,0.5998985239897944,0.00048763409937732877,1494050,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.23684210526315788,0.1,0.2,0.12,0.09,3002,24985,33819,39707
Baseline_Priority_Value,0.6140300424722062,0.7634084932315018,0.00048763409937732877,31636,4,0.18421052631578946,0.23684210526315788,0.2894736842105263,0.5263157894736842,0.7,0.45,0.22,0.2,79,38227,39836,39918
ML_dual_branch_combined_smote,0.6065529862817539,0.5287539448083699,0.00048763409937732877,1669872,7,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.1,0.05,0.02,0.01,10007,24241,34614,39575
ML_enhanced_combined_smote,0.5906288703077557,0.46390902706575726,0.00048763409937732877,23807407,92,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.01,12379,27355,34318,39011
ML_enhanced_commit_only_smote,0.5802056091741018,0.4336105887987619,0.00048763409937732877,21345615,68,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.02,13394,26763,30787,39598
Baseline_Random,0.5726258931732543,0.5659160063832459,0.00048763409937732877,4038746,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18394,25067,32753,38967
ML_enhanced_files_only_smote,0.5691407242254779,0.5477609137101156,0.00048763409937732877,2076422,16,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.05,0.02,0.01,8885,31324,38534,39891
ML_dual_branch_combined_class_weights,0.5207997988920637,0.41378582368456573,0.00048763409937732877,1743232,10,0.02631578947368421,0.05263157894736842,0.18421052631578946,0.21052631578947367,0.1,0.1,0.14,0.08,13290,39957,39969,39987
ML_dual_branch_commit_only_smote,0.5172777777046583,0.4310090649954499,0.00048763409937732877,32139872,3649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15253,29386,39819,39986
ML_dual_branch_files_only_smote,0.4302150196567213,0.4107930827494369,0.00048763409937732877,8448554,86,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.02,27370,36305,37361,39962
Baseline_Recency,0.2949942813221004,0.2952303174779829,0.00048763409937732877,14653093,3361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30309,38321,38762,39603
Baseline_Duration,0.20184892950824637,0.6498022057523125,0.00048763409937732877,210,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35861,39142,39835,39917
