Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_basic_history_only_class_weights,0.923895518636046,0.7278615162661609,0.00048763409937732877,2455032,11,0.0,0.07894736842105263,0.18421052631578946,0.23684210526315788,0.0,0.15,0.14,0.09,225,654,4918,34229
ML_dual_branch_files_only_class_weights,0.8299571855944595,0.6954485390358801,0.00048763409937732877,4715606,8,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.2894736842105263,0.2,0.1,0.12,0.11,243,1679,30944,39669
ML_basic_history_only_smote,0.739672488881811,0.5501564249899676,0.00048763409937732877,13894039,33,0.0,0.0,0.10526315789473684,0.21052631578947367,0.0,0.0,0.08,0.08,578,8219,39976,39988
ML_enhanced_combined_class_weights,0.7229185394404515,0.6507806664286863,0.00048763409937732877,5916058,21,0.0,0.0,0.05263157894736842,0.07894736842105263,0.0,0.0,0.04,0.03,5493,18527,27315,37606
ML_dual_branch_combined_smote,0.7068292464638303,0.5927391035883146,0.00048763409937732877,5244378,20,0.0,0.02631578947368421,0.05263157894736842,0.13157894736842105,0.0,0.05,0.04,0.05,9137,17974,28088,39601
Baseline_Historical,0.7060586398101584,0.7065300390824527,0.00048763409937732877,1558834,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9319,12478,30118,36603
ML_enhanced_concatenated_class_weights,0.6557237450825293,0.5809086792011985,0.00048763409937732877,5691899,18,0.0,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.0,0.05,0.04,0.02,4972,26401,36977,39972
ML_enhanced_commit_only_class_weights,0.6516818440860711,0.5583739092106313,0.00048763409937732877,4643496,15,0.0,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.0,0.15,0.12,0.06,9838,26769,33616,38770
ML_dual_branch_combined_class_weights,0.6436434493169833,0.5417471250740862,0.00048763409937732877,522018,8,0.02631578947368421,0.07894736842105263,0.21052631578947367,0.21052631578947367,0.1,0.15,0.16,0.08,7918,24593,39969,39986
ML_enhanced_files_only_class_weights,0.6314269318799512,0.5653259390512275,0.00048763409937732877,1549740,7,0.05263157894736842,0.07894736842105263,0.15789473684210525,0.18421052631578946,0.2,0.15,0.12,0.07,9547,22177,33371,39972
Baseline_Priority_Value,0.6140300424722062,0.7634084932315018,0.00048763409937732877,31636,4,0.18421052631578946,0.23684210526315788,0.2894736842105263,0.5263157894736842,0.7,0.45,0.22,0.2,79,38227,39836,39918
ML_enhanced_concatenated_smote,0.6005710780991088,0.5328964191577343,0.00048763409937732877,25597662,1766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13830,26266,31607,39236
Baseline_Random,0.5726258931732543,0.5659160063832459,0.00048763409937732877,4038746,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18394,25067,32753,38967
ML_enhanced_files_only_smote,0.5277872467560158,0.5516322772495653,0.00048763409937732877,813207,12,0.0,0.02631578947368421,0.07894736842105263,0.07894736842105263,0.0,0.05,0.06,0.03,18210,28573,34442,39979
ML_dual_branch_commit_only_smote,0.5196837024918696,0.42324026266714115,0.00048763409937732877,25469168,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15656,27231,38872,39787
ML_enhanced_combined_smote,0.48778940524433695,0.3684137404191621,0.00048763409937732877,22422583,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19461,29728,33992,38799
ML_dual_branch_concatenated_smote,0.48643771774079975,0.39487685454309346,0.00048763409937732877,37469805,4147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20167,30700,35219,38273
ML_enhanced_commit_only_smote,0.4788231237274461,0.41154748463338486,0.00048763409937732877,39243164,5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20274,27644,28591,39789
ML_dual_branch_concatenated_class_weights,0.4627601537791313,0.5217814662938055,0.00048763409937732877,12851,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.13157894736842105,0.2,0.1,0.04,0.05,21596,34164,39965,39986
ML_dual_branch_files_only_smote,0.3618212113594396,0.34877256091755965,0.00048763409937732877,15947215,944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32167,38071,39062,39780
ML_dual_branch_commit_only_class_weights,0.3127590350504283,0.3021755423079319,0.00048763409937732877,4859102,17,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.05,0.02,0.01,32770,39954,39972,39988
Baseline_Recency,0.2949942813221004,0.2952303174779829,0.00048763409937732877,14653093,3361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30309,38321,38762,39603
Baseline_Duration,0.20184892950824637,0.6498022057523125,0.00048763409937732877,210,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35861,39142,39835,39917
