Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_basic_history_only_smote,0.7187038992354293,0.4264358924877452,0.0016905173769460604,50798,1,0.19047619047619047,0.19047619047619047,0.2619047619047619,0.30952380952380953,0.8,0.4,0.22,0.13,2495,6283,8628,12003
ML_basic_history_only_class_weights,0.7018492724971731,0.41761301063831646,0.0016905173769460604,4046,1,0.19047619047619047,0.23809523809523808,0.2619047619047619,0.2619047619047619,0.8,0.5,0.22,0.11,2308,6878,8737,12697
ML_dual_branch_concatenated_class_weights,0.6982641775061966,0.5574606976407339,0.0016905173769460604,50798,1,0.19047619047619047,0.19047619047619047,0.2619047619047619,0.2857142857142857,0.8,0.4,0.22,0.12,2346,6739,10653,12525
ML_dual_branch_files_only_smote,0.6798070226675353,0.4651775144767918,0.0016905173769460604,3722,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,2538,7698,9837,12682
ML_dual_branch_combined_class_weights,0.6712664465062641,0.5181807505895153,0.0016905173769460604,17207,2,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.8,0.4,0.2,0.1,4668,7196,7987,10099
ML_enhanced_files_only_class_weights,0.6686117913119014,0.4623709282783601,0.0016905173769460604,5120027,4,0.07142857142857142,0.11904761904761904,0.16666666666666666,0.16666666666666666,0.3,0.25,0.14,0.07,1992,8258,9559,12568
ML_enhanced_concatenated_smote,0.66786294640517,0.59961911009795,0.0016905173769460604,4046,1,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6,0.35,0.14,0.07,3054,8255,9751,12348
ML_enhanced_concatenated_class_weights,0.6560948486958866,0.5236972806234882,0.0016905173769460604,3458503,3,0.09523809523809523,0.16666666666666666,0.16666666666666666,0.19047619047619047,0.4,0.35,0.14,0.08,3390,7119,10661,12332
ML_enhanced_combined_class_weights,0.6545803098720224,0.5122013376716561,0.0016905173769460604,50798,1,0.11904761904761904,0.11904761904761904,0.16666666666666666,0.21428571428571427,0.5,0.25,0.14,0.09,2957,6598,11307,12693
ML_enhanced_commit_only_class_weights,0.6464890406547901,0.4790090963254759,0.0016905173769460604,50798,1,0.09523809523809523,0.11904761904761904,0.16666666666666666,0.16666666666666666,0.4,0.25,0.14,0.07,4023,7651,9430,11004
ML_dual_branch_commit_only_smote,0.6309355319419795,0.46394168751576204,0.0016905173769460604,4046,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,4479,6969,9202,11098
ML_enhanced_files_only_smote,0.6304019799459334,0.5263005317345828,0.0016905173769460604,17207,2,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.5,0.25,0.1,0.05,3302,8351,10510,11973
Baseline_Historical,0.6262870771834446,0.6867268068761561,0.0016905173769460604,575555,24,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.02,0.01,2168,8257,10205,12711
ML_dual_branch_concatenated_smote,0.6234957577936033,0.499952304545935,0.0016905173769460604,4046,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,4290,9397,10204,12401
ML_dual_branch_combined_smote,0.6022865979227042,0.4871745715348643,0.0016905173769460604,3722,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,4575,8503,9868,10977
ML_dual_branch_commit_only_class_weights,0.6022772373613701,0.4911797543684374,0.0016905173769460604,1450,1,0.19047619047619047,0.19047619047619047,0.30952380952380953,0.30952380952380953,0.8,0.4,0.26,0.13,4676,9749,10471,11634
Baseline_Priority_Value,0.5972693370476041,0.8766625465115364,0.0016905173769460604,1334,1,0.19047619047619047,0.2619047619047619,0.2619047619047619,0.3333333333333333,0.8,0.55,0.22,0.14,4315,9645,11081,11739
ML_enhanced_commit_only_smote,0.5619107526640157,0.5828405169003095,0.0016905173769460604,4046,1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.3,0.15,0.06,0.03,4247,9307,11108,12186
ML_dual_branch_files_only_class_weights,0.5504047506720884,0.7514537387419271,0.0016905173769460604,1450,1,0.19047619047619047,0.19047619047619047,0.2619047619047619,0.2619047619047619,0.8,0.4,0.22,0.11,5844,9825,11273,12466
ML_enhanced_combined_smote,0.5404544739738952,0.6749968543085751,0.0016905173769460604,50798,1,0.11904761904761904,0.11904761904761904,0.14285714285714285,0.14285714285714285,0.5,0.25,0.12,0.06,6072,10637,11600,12399
Baseline_Random,0.45216191524573346,0.45747610539278516,0.0016905173769460604,36456039,537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6898,10550,11523,12472
Baseline_Duration,0.4383850410741431,0.8461507925699445,0.0016905173769460604,22,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7783,10399,11300,11733
Baseline_Recency,0.397230397112454,0.338435980570552,0.0016905173769460604,548810,13,0.0,0.023809523809523808,0.047619047619047616,0.09523809523809523,0.0,0.05,0.04,0.04,8428,11208,11993,12076
