Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_concatenated_class_weights,0.7646006035689948,0.5025986194497857,0.0016905173769460604,3722,1,0.19047619047619047,0.21428571428571427,0.21428571428571427,0.2619047619047619,0.8,0.45,0.18,0.11,2445,4349,7578,10525
ML_basic_history_only_smote,0.7187038992354293,0.4264358924877452,0.0016905173769460604,50798,1,0.19047619047619047,0.19047619047619047,0.2619047619047619,0.30952380952380953,0.8,0.4,0.22,0.13,2495,6283,8628,12003
ML_basic_history_only_class_weights,0.7018492724971731,0.41761301063831646,0.0016905173769460604,4046,1,0.19047619047619047,0.23809523809523808,0.2619047619047619,0.2619047619047619,0.8,0.5,0.22,0.11,2308,6878,8737,12697
ML_dual_branch_commit_only_class_weights,0.6903769685260486,0.4363928811805274,0.0016905173769460604,50798,1,0.19047619047619047,0.19047619047619047,0.2619047619047619,0.2857142857142857,0.8,0.4,0.22,0.12,3028,6228,9652,12450
ML_enhanced_combined_class_weights,0.6768303641632781,0.47751765403116103,0.0016905173769460604,17207,2,0.11904761904761904,0.11904761904761904,0.19047619047619047,0.21428571428571427,0.5,0.25,0.16,0.09,3022,5164,9166,12253
ML_dual_branch_files_only_class_weights,0.6720471173215316,0.7812885633685589,0.0016905173769460604,1450,1,0.19047619047619047,0.19047619047619047,0.21428571428571427,0.23809523809523808,0.8,0.4,0.18,0.1,2535,8152,9200,12568
ML_enhanced_files_only_class_weights,0.6548274286912438,0.45779465186168955,0.0016905173769460604,1841207,2,0.11904761904761904,0.11904761904761904,0.19047619047619047,0.19047619047619047,0.5,0.25,0.16,0.08,3379,7235,11370,12554
ML_enhanced_commit_only_class_weights,0.6526033593182516,0.5115971729347244,0.0016905173769460604,4046,1,0.11904761904761904,0.11904761904761904,0.19047619047619047,0.19047619047619047,0.5,0.25,0.16,0.08,3316,6575,10397,12069
ML_dual_branch_combined_smote,0.6388676716165316,0.4544438180122102,0.0016905173769460604,64283,2,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8,0.5,0.2,0.1,4082,7515,9932,12344
ML_enhanced_combined_smote,0.6376021237241555,0.7443746329351366,0.0016905173769460604,17207,2,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6,0.45,0.18,0.09,4633,6098,8915,12592
ML_dual_branch_files_only_smote,0.633013576558159,0.5012675738783395,0.0016905173769460604,3722,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,3280,7335,10923,12277
Baseline_Historical,0.6262870771834446,0.6867268068761561,0.0016905173769460604,575555,24,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.02,0.01,2168,8257,10205,12711
ML_dual_branch_combined_class_weights,0.6227656340095402,0.4740293273313315,0.0016905173769460604,1450,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,4043,7387,10591,12101
ML_enhanced_files_only_smote,0.6193415406735111,0.7988583431713889,0.0016905173769460604,64283,2,0.11904761904761904,0.11904761904761904,0.16666666666666666,0.16666666666666666,0.5,0.25,0.14,0.07,4297,8252,10936,12306
ML_dual_branch_commit_only_smote,0.6033050269958589,0.3934616331299133,0.0016905173769460604,50798,1,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.6,0.4,0.16,0.08,3985,7504,9548,12587
Baseline_Priority_Value,0.5972693370476041,0.8766625465115364,0.0016905173769460604,1334,1,0.19047619047619047,0.2619047619047619,0.2619047619047619,0.3333333333333333,0.8,0.55,0.22,0.14,4315,9645,11081,11739
ML_enhanced_concatenated_class_weights,0.5852185503860295,0.46279129645967854,0.0016905173769460604,4046,1,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.21428571428571427,0.5,0.25,0.1,0.09,5251,8846,11347,12275
ML_dual_branch_concatenated_smote,0.5707957974823834,0.5420158916463127,0.0016905173769460604,4046,1,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.8,0.4,0.16,0.08,4185,10041,12246,12713
ML_enhanced_concatenated_smote,0.5470892398475351,0.6007823465673898,0.0016905173769460604,64283,2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6,0.3,0.12,0.06,6920,9836,10341,12433
ML_enhanced_commit_only_smote,0.5351301866870353,0.5542459347503714,0.0016905173769460604,17207,2,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.5,0.25,0.1,0.05,5458,8751,11477,12669
Baseline_Random,0.45216191524573346,0.45747610539278516,0.0016905173769460604,36456039,537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6898,10550,11523,12472
Baseline_Duration,0.4383850410741431,0.8461507925699445,0.0016905173769460604,22,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7783,10399,11300,11733
Baseline_Recency,0.397230397112454,0.338435980570552,0.0016905173769460604,548810,13,0.0,0.023809523809523808,0.047619047619047616,0.09523809523809523,0.0,0.05,0.04,0.04,8428,11208,11993,12076
