Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_concatenated_class_weights,0.8985003657644477,0.8120256159291688,0.10159107534747623,14.25,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_concatenated_smote,0.8985003657644477,0.8462844170452549,0.10159107534747623,4.45,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_concatenated_class_weights,0.8985003657644477,0.8329306319510165,0.10159107534747623,25.8,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_files_only_class_weights,0.8985003657644477,0.8469926536893636,0.10159107534747623,9.35,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_files_only_smote,0.8985003657644477,0.8465726768527188,0.10159107534747623,6.2,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_files_only_class_weights,0.8985003657644477,0.8420886130923361,0.10159107534747623,4.75,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_files_only_smote,0.8985003657644477,0.8385980745084958,0.10159107534747623,7.6,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_concatenated_smote,0.8985003657644477,0.8427934348052785,0.10159107534747623,3.75,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_combined_smote,0.898347799152481,0.8099298291206436,0.10159107534747623,10.4,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,1000,1410
ML_dual_branch_combined_smote,0.8983024904934196,0.7977607573194484,0.10159107534747623,24.25,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,1000,1254
ML_enhanced_combined_class_weights,0.8980598008396107,0.8003425426958246,0.10159107534747623,12.85,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,1000,1672
ML_dual_branch_combined_class_weights,0.8980500800727574,0.7963851408266863,0.10159107534747623,22.85,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,1003,1370
ML_enhanced_commit_only_class_weights,0.8873241200234616,0.7758700350516554,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,911,1248,1538
ML_dual_branch_commit_only_class_weights,0.8864721524743471,0.7872339998589735,0.10159107534747623,23.95,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,921,1269,1539
ML_basic_history_only_smote,0.8860488872193335,0.7789724939111788,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,934,1288,1541
ML_basic_history_only_class_weights,0.8860459215616494,0.7681888538502744,0.10159107534747623,28.6,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,934,1288,1541
ML_dual_branch_commit_only_smote,0.8859398169200656,0.7747154095136872,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,936,1286,1534
ML_enhanced_commit_only_smote,0.8826998359002749,0.7658892671516457,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,556,984,1341,1542
Baseline_Priority_Value,0.7446570381647193,0.7539750867895871,0.10159107534747623,0.45,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,1005,1684,3815,5468
Baseline_Historical,0.6086147412957947,0.657316087206439,0.10159107534747623,43.8,6,0.0009009009009009009,0.0009009009009009009,0.006306306306306306,0.036936936936936934,0.1,0.05,0.14,0.41,1748,3615,4632,5449
Baseline_Random,0.5041667490460469,0.508627243854669,0.10159107534747623,8.5,1,0.0018018018018018018,0.002702702702702703,0.007207207207207207,0.02072072072072072,0.2,0.15,0.16,0.23,2655,3986,4936,5466
Baseline_Recency,0.3931671246960201,0.3407829075805549,0.10159107534747623,95.74000000000001,13,0.0,0.0009009009009009009,0.005405405405405406,0.00990990990990991,0.0,0.05,0.12,0.11,3629,4790,5285,5462
Baseline_Duration,0.34073248449620064,0.5156166153569528,0.10159107534747623,50.589999999999996,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3947,5190,5357,5468
