Model,APFD,APFD_C,NAPFD,TTFF,rank_first_failure,recall@10,recall@20,recall@50,recall@100,precision@10,precision@20,precision@50,precision@100,tests_to_50pct,tests_to_75pct,tests_to_90pct,tests_to_100pct
ML_dual_branch_concatenated_class_weights,0.8985003657644477,0.8451078409755581,0.10159107534747623,7.2,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_concatenated_smote,0.8985003657644477,0.8459017914422278,0.10159107534747623,3.4,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_concatenated_class_weights,0.8985003657644477,0.8322505681498453,0.10159107534747623,22.65,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_files_only_class_weights,0.8985003657644477,0.8419014227653362,0.10159107534747623,5.45,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_files_only_smote,0.8985003657644477,0.8366137498593126,0.10159107534747623,6.15,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_files_only_class_weights,0.8985003657644477,0.8291168647731049,0.10159107534747623,4.45,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_files_only_smote,0.8985003657644477,0.8386808007750647,0.10159107534747623,4.05,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_dual_branch_concatenated_smote,0.8985003657644477,0.8453719059210857,0.10159107534747623,0.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1110
ML_enhanced_combined_smote,0.898480594713221,0.8251946661363847,0.10159107534747623,9.35,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1145
ML_dual_branch_combined_smote,0.8984553866229068,0.8230714250179146,0.10159107534747623,3.05,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,1000,1146
ML_dual_branch_combined_class_weights,0.8983545542616501,0.7910154536747042,0.10159107534747623,23.35,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1199
ML_enhanced_combined_class_weights,0.8981777681119305,0.7867783793899683,0.10159107534747623,22.6,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,832,999,1343
ML_enhanced_commit_only_class_weights,0.8878839702907004,0.7722826594940143,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,903,1241,1541
ML_dual_branch_commit_only_class_weights,0.8871852283885935,0.7873576059856915,0.10159107534747623,22.65,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,916,1253,1540
ML_basic_history_only_smote,0.8860488872193335,0.7789724939111788,0.10159107534747623,27.55,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,934,1288,1541
ML_basic_history_only_class_weights,0.8860459215616494,0.7681888538502744,0.10159107534747623,28.6,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,934,1288,1541
ML_enhanced_commit_only_smote,0.8859353684335396,0.7730024805832052,0.10159107534747623,26.15,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,939,1271,1541
ML_dual_branch_commit_only_smote,0.8858093279819688,0.7708038531972176,0.10159107534747623,28.6,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,555,934,1284,1536
Baseline_Priority_Value,0.7446570381647193,0.7539750867895871,0.10159107534747623,0.45,1,0.009009009009009009,0.018018018018018018,0.04504504504504504,0.09009009009009009,1.0,1.0,1.0,1.0,1005,1684,3815,5468
Baseline_Historical,0.6086147412957947,0.657316087206439,0.10159107534747623,43.8,6,0.0009009009009009009,0.0009009009009009009,0.006306306306306306,0.036936936936936934,0.1,0.05,0.14,0.41,1748,3615,4632,5449
Baseline_Random,0.5041667490460469,0.508627243854669,0.10159107534747623,8.5,1,0.0018018018018018018,0.002702702702702703,0.007207207207207207,0.02072072072072072,0.2,0.15,0.16,0.23,2655,3986,4936,5466
Baseline_Recency,0.3931671246960201,0.3407829075805549,0.10159107534747623,95.74000000000001,13,0.0,0.0009009009009009009,0.005405405405405406,0.00990990990990991,0.0,0.05,0.12,0.11,3629,4790,5285,5462
Baseline_Duration,0.34073248449620064,0.5156166153569528,0.10159107534747623,50.589999999999996,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3947,5190,5357,5468
