subject,block,batch,matched_block_id,profile,variant,policy,final_status,warning,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,S,E,M,N,prefix_elapsed_s,prefix_capacity_vcpu_h,indeterminate_reason
etcd5509,1,A,c1v1-etcd5509-b01,R,V_bad,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b01-R-bad-a1,c1v1-measured-etcd5509-b01-R-bad-a2 c1v1-measured-etcd5509-b01-R-bad-a3,PASS,0,0,0,,0.554,0.014264,
etcd5509,1,A,c1v1-etcd5509-b01,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b01-R-ok-a1,c1v1-measured-etcd5509-b01-R-ok-a2 c1v1-measured-etcd5509-b01-R-ok-a3,PASS,,,,0,0.557,0.014158,
etcd5509,1,A,c1v1-etcd5509-b01,R,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b01-R-bad-a1,c1v1-measured-etcd5509-b01-R-bad-a2 c1v1-measured-etcd5509-b01-R-bad-a3,PASS,0,0,0,,0.554,0.014264,
etcd5509,1,A,c1v1-etcd5509-b01,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b01-R-ok-a1,c1v1-measured-etcd5509-b01-R-ok-a2 c1v1-measured-etcd5509-b01-R-ok-a3,PASS,,,,0,0.557,0.014158,
etcd5509,1,A,c1v1-etcd5509-b01,R,V_bad,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b01-R-bad-a1,c1v1-measured-etcd5509-b01-R-bad-a2 c1v1-measured-etcd5509-b01-R-bad-a3,PASS,0,0,0,,0.554,0.014264,
etcd5509,1,A,c1v1-etcd5509-b01,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b01-R-ok-a1,c1v1-measured-etcd5509-b01-R-ok-a2 c1v1-measured-etcd5509-b01-R-ok-a3,PASS,,,,0,0.557,0.014158,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_bad,P1,BLOCK,,first attempt only,1,c1v1-measured-etcd5509-b01-L-bad-a1,c1v1-measured-etcd5509-b01-L-bad-a2 c1v1-measured-etcd5509-b01-L-bad-a3,FOCAL_DEFECT_WITNESS,1,1,0,,42.189,0.024814,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b01-L-ok-a1,c1v1-measured-etcd5509-b01-L-ok-a2 c1v1-measured-etcd5509-b01-L-ok-a3,PASS,,,,0,0.508,0.001732,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",3,c1v1-measured-etcd5509-b01-L-bad-a1 c1v1-measured-etcd5509-b01-L-bad-a2 c1v1-measured-etcd5509-b01-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,0,1,1,,84.736,0.051334,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b01-L-ok-a1,c1v1-measured-etcd5509-b01-L-ok-a2 c1v1-measured-etcd5509-b01-L-ok-a3,PASS,,,,0,0.508,0.001732,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_bad,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3 decision; flag accept after failure,3,c1v1-measured-etcd5509-b01-L-bad-a1 c1v1-measured-etcd5509-b01-L-bad-a2 c1v1-measured-etcd5509-b01-L-bad-a3,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,0,1,1,,84.736,0.051334,
etcd5509,1,A,c1v1-etcd5509-b01,L,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b01-L-ok-a1,c1v1-measured-etcd5509-b01-L-ok-a2 c1v1-measured-etcd5509-b01-L-ok-a3,PASS,,,,0,0.508,0.001732,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_bad,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b02-R-bad-a1,c1v1-measured-etcd5509-b02-R-bad-a2 c1v1-measured-etcd5509-b02-R-bad-a3,PASS,0,0,0,,0.499,0.013819,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_ok,P1,ACCEPT,,first attempt only,1,c1v1-measured-etcd5509-b02-R-ok-a1,c1v1-measured-etcd5509-b02-R-ok-a2 c1v1-measured-etcd5509-b02-R-ok-a3,PASS,,,,0,0.478,0.013874,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_bad,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b02-R-bad-a1,c1v1-measured-etcd5509-b02-R-bad-a2 c1v1-measured-etcd5509-b02-R-bad-a3,PASS,0,0,0,,0.499,0.013819,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_ok,P3,ACCEPT,,"accept on first zero, block after 3 nonzero",1,c1v1-measured-etcd5509-b02-R-ok-a1,c1v1-measured-etcd5509-b02-R-ok-a2 c1v1-measured-etcd5509-b02-R-ok-a3,PASS,,,,0,0.478,0.013874,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_bad,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b02-R-bad-a1,c1v1-measured-etcd5509-b02-R-bad-a2 c1v1-measured-etcd5509-b02-R-bad-a3,PASS,0,0,0,,0.499,0.013819,
etcd5509,2,A,c1v1-etcd5509-b02,R,V_ok,P3-retain,ACCEPT,,P3 decision; flag accept after failure,1,c1v1-measured-etcd5509-b02-R-ok-a1,c1v1-measured-etcd5509-b02-R-ok-a2 c1v1-measured-etcd5509-b02-R-ok-a3,PASS,,,,0,0.478,0.013874,
