subject,policy,estimate,interval_lo,interval_hi,bound_lo,bound_hi,n_plus,n_minus,n_zero,missing,scheduled,complete_blocks,batch_A_estimate,batch_B_estimate,invalid_fraction,questioned_oracle
etcd5509,P1,-0.3,-0.7940432400838684,0.4754251535490745,-0.3,-0.3,0,3,7,0,10,10,-0.4,-0.2,0.0,False
etcd5509,P3,-0.2,-0.8527547743771935,0.6667152311181579,-0.2,-0.2,2,4,4,0,10,10,-0.2,-0.2,0.0,False
etcd7492,P1,0.4,-0.4465928007628472,0.8576289833206658,0.4,0.4,4,0,6,0,10,10,0.8,0.0,0.0,False
etcd7492,P3,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
grpc1859,P1,0.2,-0.49188842951024975,0.7168850688090329,0.2,0.2,2,0,8,0,10,10,0.0,0.4,0.0,False
grpc1859,P3,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
grpc2391,P1,0.1,-0.4966584229266931,0.6219086602733781,0.1,0.1,1,0,9,0,10,10,0.2,0.0,0.0,False
grpc2391,P3,0.1,-0.6170344513299058,0.7167808532820039,0.1,0.1,2,1,7,0,10,10,0.2,0.0,0.0,False
istio17860,P1,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
istio17860,P3,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
k8s26980,P1,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
k8s26980,P3,0.0,-0.49676263845372215,0.49676263845372215,0.0,0.0,0,0,10,0,10,10,0.0,0.0,0.0,False
