seq,batch,block,subject_position,subject,cell_position,profile,variant,attempt,attempt_id,matched_block_id
1,A,1,1,grpc2391,1,R,ok,1,c1v1-measured-grpc2391-b01-R-ok-a1,c1v1-grpc2391-b01
2,A,1,1,grpc2391,1,R,ok,2,c1v1-measured-grpc2391-b01-R-ok-a2,c1v1-grpc2391-b01
3,A,1,1,grpc2391,1,R,ok,3,c1v1-measured-grpc2391-b01-R-ok-a3,c1v1-grpc2391-b01
4,A,1,1,grpc2391,2,L,ok,1,c1v1-measured-grpc2391-b01-L-ok-a1,c1v1-grpc2391-b01
5,A,1,1,grpc2391,2,L,ok,2,c1v1-measured-grpc2391-b01-L-ok-a2,c1v1-grpc2391-b01
6,A,1,1,grpc2391,2,L,ok,3,c1v1-measured-grpc2391-b01-L-ok-a3,c1v1-grpc2391-b01
7,A,1,1,grpc2391,3,L,bad,1,c1v1-measured-grpc2391-b01-L-bad-a1,c1v1-grpc2391-b01
8,A,1,1,grpc2391,3,L,bad,2,c1v1-measured-grpc2391-b01-L-bad-a2,c1v1-grpc2391-b01
9,A,1,1,grpc2391,3,L,bad,3,c1v1-measured-grpc2391-b01-L-bad-a3,c1v1-grpc2391-b01
10,A,1,1,grpc2391,4,R,bad,1,c1v1-measured-grpc2391-b01-R-bad-a1,c1v1-grpc2391-b01
11,A,1,1,grpc2391,4,R,bad,2,c1v1-measured-grpc2391-b01-R-bad-a2,c1v1-grpc2391-b01
12,A,1,1,grpc2391,4,R,bad,3,c1v1-measured-grpc2391-b01-R-bad-a3,c1v1-grpc2391-b01
13,A,1,2,etcd7492,1,R,bad,1,c1v1-measured-etcd7492-b01-R-bad-a1,c1v1-etcd7492-b01
14,A,1,2,etcd7492,1,R,bad,2,c1v1-measured-etcd7492-b01-R-bad-a2,c1v1-etcd7492-b01
15,A,1,2,etcd7492,1,R,bad,3,c1v1-measured-etcd7492-b01-R-bad-a3,c1v1-etcd7492-b01
16,A,1,2,etcd7492,2,L,ok,1,c1v1-measured-etcd7492-b01-L-ok-a1,c1v1-etcd7492-b01
17,A,1,2,etcd7492,2,L,ok,2,c1v1-measured-etcd7492-b01-L-ok-a2,c1v1-etcd7492-b01
18,A,1,2,etcd7492,2,L,ok,3,c1v1-measured-etcd7492-b01-L-ok-a3,c1v1-etcd7492-b01
19,A,1,2,etcd7492,3,L,bad,1,c1v1-measured-etcd7492-b01-L-bad-a1,c1v1-etcd7492-b01
20,A,1,2,etcd7492,3,L,bad,2,c1v1-measured-etcd7492-b01-L-bad-a2,c1v1-etcd7492-b01
21,A,1,2,etcd7492,3,L,bad,3,c1v1-measured-etcd7492-b01-L-bad-a3,c1v1-etcd7492-b01
22,A,1,2,etcd7492,4,R,ok,1,c1v1-measured-etcd7492-b01-R-ok-a1,c1v1-etcd7492-b01
23,A,1,2,etcd7492,4,R,ok,2,c1v1-measured-etcd7492-b01-R-ok-a2,c1v1-etcd7492-b01
24,A,1,2,etcd7492,4,R,ok,3,c1v1-measured-etcd7492-b01-R-ok-a3,c1v1-etcd7492-b01
25,A,1,3,grpc1859,1,R,bad,1,c1v1-measured-grpc1859-b01-R-bad-a1,c1v1-grpc1859-b01
26,A,1,3,grpc1859,1,R,bad,2,c1v1-measured-grpc1859-b01-R-bad-a2,c1v1-grpc1859-b01
27,A,1,3,grpc1859,1,R,bad,3,c1v1-measured-grpc1859-b01-R-bad-a3,c1v1-grpc1859-b01
28,A,1,3,grpc1859,2,L,ok,1,c1v1-measured-grpc1859-b01-L-ok-a1,c1v1-grpc1859-b01
29,A,1,3,grpc1859,2,L,ok,2,c1v1-measured-grpc1859-b01-L-ok-a2,c1v1-grpc1859-b01
30,A,1,3,grpc1859,2,L,ok,3,c1v1-measured-grpc1859-b01-L-ok-a3,c1v1-grpc1859-b01
31,A,1,3,grpc1859,3,L,bad,1,c1v1-measured-grpc1859-b01-L-bad-a1,c1v1-grpc1859-b01
32,A,1,3,grpc1859,3,L,bad,2,c1v1-measured-grpc1859-b01-L-bad-a2,c1v1-grpc1859-b01
33,A,1,3,grpc1859,3,L,bad,3,c1v1-measured-grpc1859-b01-L-bad-a3,c1v1-grpc1859-b01
34,A,1,3,grpc1859,4,R,ok,1,c1v1-measured-grpc1859-b01-R-ok-a1,c1v1-grpc1859-b01
35,A,1,3,grpc1859,4,R,ok,2,c1v1-measured-grpc1859-b01-R-ok-a2,c1v1-grpc1859-b01
36,A,1,3,grpc1859,4,R,ok,3,c1v1-measured-grpc1859-b01-R-ok-a3,c1v1-grpc1859-b01
37,A,1,4,istio17860,1,R,ok,1,c1v1-measured-istio17860-b01-R-ok-a1,c1v1-istio17860-b01
38,A,1,4,istio17860,1,R,ok,2,c1v1-measured-istio17860-b01-R-ok-a2,c1v1-istio17860-b01
39,A,1,4,istio17860,1,R,ok,3,c1v1-measured-istio17860-b01-R-ok-a3,c1v1-istio17860-b01
40,A,1,4,istio17860,2,L,ok,1,c1v1-measured-istio17860-b01-L-ok-a1,c1v1-istio17860-b01
41,A,1,4,istio17860,2,L,ok,2,c1v1-measured-istio17860-b01-L-ok-a2,c1v1-istio17860-b01
42,A,1,4,istio17860,2,L,ok,3,c1v1-measured-istio17860-b01-L-ok-a3,c1v1-istio17860-b01
43,A,1,4,istio17860,3,R,bad,1,c1v1-measured-istio17860-b01-R-bad-a1,c1v1-istio17860-b01
