block,batch,subject_position_in_block,preceding_subject,host_load_pct_at_block_start,cell_order,cell_position,profile,variant,first_seq,a1,a1_s,a2,a2_s,a3,a3_s,P1_visible,P1_suffix_research_only,P1_gate,P3_visible,P3_suffix_research_only,P3_gate,S_P1,S_P3,started_utc_a1,attempt_ids
1,A,5,istio17860,6,R/bad > R/ok > L/ok > L/bad,1,R,bad,49,P,0.554,F(a),42.161,F(a),42.16,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,0,0,2026-09-25T13:13:45.522850Z,c1v1-measured-etcd5509-b01-R-bad-a1 c1v1-measured-etcd5509-b01-R-bad-a2 c1v1-measured-etcd5509-b01-R-bad-a3
1,A,5,istio17860,6,R/bad > R/ok > L/ok > L/bad,2,R,ok,52,P,0.557,P,0.464,P,0.493,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:15:18.012787Z,c1v1-measured-etcd5509-b01-R-ok-a1 c1v1-measured-etcd5509-b01-R-ok-a2 c1v1-measured-etcd5509-b01-R-ok-a3
1,A,5,istio17860,6,R/bad > R/ok > L/ok > L/bad,4,L,bad,58,F(a),42.189,F(a),42.062,P,0.485,a1,"a2,a3",BLOCK,"a1,a2,a3",-,ACCEPT,1,0,2026-09-25T13:15:36.783831Z,c1v1-measured-etcd5509-b01-L-bad-a1 c1v1-measured-etcd5509-b01-L-bad-a2 c1v1-measured-etcd5509-b01-L-bad-a3
1,A,5,istio17860,6,R/bad > R/ok > L/ok > L/bad,3,L,ok,55,P,0.508,P,0.467,P,0.5,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:15:27.440781Z,c1v1-measured-etcd5509-b01-L-ok-a1 c1v1-measured-etcd5509-b01-L-ok-a2 c1v1-measured-etcd5509-b01-L-ok-a3
2,A,3,istio17860,21,L/bad > R/bad > L/ok > R/ok,2,R,bad,100,P,0.499,F(a),42.094,F(a),42.137,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,0,0,2026-09-25T13:21:45.788767Z,c1v1-measured-etcd5509-b02-R-bad-a1 c1v1-measured-etcd5509-b02-R-bad-a2 c1v1-measured-etcd5509-b02-R-bad-a3
2,A,3,istio17860,21,L/bad > R/bad > L/ok > R/ok,4,R,ok,106,P,0.478,P,0.494,P,0.489,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:23:27.415232Z,c1v1-measured-etcd5509-b02-R-ok-a1 c1v1-measured-etcd5509-b02-R-ok-a2 c1v1-measured-etcd5509-b02-R-ok-a3
2,A,3,istio17860,21,L/bad > R/bad > L/ok > R/ok,1,L,bad,97,F(a),42.101,F(a),42.159,F(a),42.127,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T13:19:31.931373Z,c1v1-measured-etcd5509-b02-L-bad-a1 c1v1-measured-etcd5509-b02-L-bad-a2 c1v1-measured-etcd5509-b02-L-bad-a3
2,A,3,istio17860,21,L/bad > R/bad > L/ok > R/ok,3,L,ok,103,P,0.482,P,0.473,P,0.484,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:23:18.062965Z,c1v1-measured-etcd5509-b02-L-ok-a1 c1v1-measured-etcd5509-b02-L-ok-a2 c1v1-measured-etcd5509-b02-L-ok-a3
3,A,1,(block start),13,R/ok > R/bad > L/ok > L/bad,2,R,bad,148,F(a),42.128,F(a),42.197,F(a),42.092,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T13:28:18.060128Z,c1v1-measured-etcd5509-b03-R-bad-a1 c1v1-measured-etcd5509-b03-R-bad-a2 c1v1-measured-etcd5509-b03-R-bad-a3
3,A,1,(block start),13,R/ok > R/bad > L/ok > L/bad,1,R,ok,145,P,0.494,P,0.455,P,0.501,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:28:08.670793Z,c1v1-measured-etcd5509-b03-R-ok-a1 c1v1-measured-etcd5509-b03-R-ok-a2 c1v1-measured-etcd5509-b03-R-ok-a3
3,A,1,(block start),13,R/ok > R/bad > L/ok > L/bad,4,L,bad,154,F(a),42.058,F(a),42.07,F(a),42.058,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T13:30:41.482628Z,c1v1-measured-etcd5509-b03-L-bad-a1 c1v1-measured-etcd5509-b03-L-bad-a2 c1v1-measured-etcd5509-b03-L-bad-a3
3,A,1,(block start),13,R/ok > R/bad > L/ok > L/bad,3,L,ok,151,P,0.467,P,0.52,P,0.481,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:30:32.117181Z,c1v1-measured-etcd5509-b03-L-ok-a1 c1v1-measured-etcd5509-b03-L-ok-a2 c1v1-measured-etcd5509-b03-L-ok-a3
4,A,4,k8s26980,26,R/bad > L/bad > L/ok > R/ok,1,R,bad,253,F(a),42.149,F(a),42.032,F(a),42.088,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T13:45:11.530205Z,c1v1-measured-etcd5509-b04-R-bad-a1 c1v1-measured-etcd5509-b04-R-bad-a2 c1v1-measured-etcd5509-b04-R-bad-a3
4,A,4,k8s26980,26,R/bad > L/bad > L/ok > R/ok,4,R,ok,262,P,0.504,P,0.51,P,0.495,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:49:06.566187Z,c1v1-measured-etcd5509-b04-R-ok-a1 c1v1-measured-etcd5509-b04-R-ok-a2 c1v1-measured-etcd5509-b04-R-ok-a3
