source,attempt_id,batch,timeout_panic,n_goroutines,test_state,shape,rwmutex_lock_waiters_other_than_test,waiter_sites,get_goroutine_present,other_clientv3_goroutines,kv_get_took_too_long
C1-R,c1v1-measured-etcd5509-b01-R-bad-a2,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-R,c1v1-measured-etcd5509-b01-R-bad-a3,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-L,c1v1-measured-etcd5509-b01-L-bad-a1,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-L,c1v1-measured-etcd5509-b01-L-bad-a2,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-L,c1v1-measured-etcd5509-b02-L-bad-a1,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-L,c1v1-measured-etcd5509-b02-L-bad-a2,A,True,24,semacquire,i: test goroutine in Close's own RWMutex.Lock,0,,False,,False
C1-L,c1v1-measured-etcd5509-b02-L-bad-a3,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-R,c1v1-measured-etcd5509-b02-R-bad-a2,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-R,c1v1-measured-etcd5509-b02-R-bad-a3,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-R,c1v1-measured-etcd5509-b03-R-bad-a1,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-R,c1v1-measured-etcd5509-b03-R-bad-a2,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-R,c1v1-measured-etcd5509-b03-R-bad-a3,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor.func1 @ client.go:344,False,,False
C1-L,c1v1-measured-etcd5509-b03-L-bad-a1,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-L,c1v1-measured-etcd5509-b03-L-bad-a2,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-L,c1v1-measured-etcd5509-b03-L-bad-a3,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor @ client.go:358,False,,False
C1-R,c1v1-measured-etcd5509-b04-R-bad-a1,A,True,24,semacquire,i: test goroutine in Close's own RWMutex.Lock,0,,False,,False
C1-R,c1v1-measured-etcd5509-b04-R-bad-a2,A,True,30,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
C1-R,c1v1-measured-etcd5509-b04-R-bad-a3,A,True,25,chan receive,ii: test goroutine in Close chan receive,1,clientv3.(*Client).connMonitor.func1 @ client.go:344,False,,False
C1-L,c1v1-measured-etcd5509-b04-L-bad-a1,A,True,25,semacquire,i: test goroutine in Close's own RWMutex.Lock,1,clientv3.(*Client).retryConnection @ client.go:286,False,,False
