episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,2,V_bad,V_bad,2026-09-22T21:22:16.930721Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq7:df4861dac87b,a2:seq8:cc11551182a8 a3:seq9:764f21b1a145,FOCAL_DEFECT_WITNESS,S,1,43.53,
etcd5509,2,V_bad,V_bad,2026-09-22T21:22:16.930721Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq7:df4861dac87b a2:seq8:cc11551182a8 a3:seq9:764f21b1a145,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,S,0,87.699,
etcd5509,2,V_bad,V_bad,2026-09-22T21:22:16.930721Z,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq7:df4861dac87b a2:seq8:cc11551182a8 a3:seq9:764f21b1a145,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | PASS,S,0,87.699,
etcd5509,2,V_ok,V_bad,2026-09-22T21:23:44.632210Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq10:2f3f03db6a94,a2:seq11:d3e84b69bfe3 a3:seq12:d2e01b3198b9,PASS,N,0,0.72,
etcd5509,2,V_ok,V_bad,2026-09-22T21:23:44.632210Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq10:2f3f03db6a94,a2:seq11:d3e84b69bfe3 a3:seq12:d2e01b3198b9,PASS,N,0,0.72,
etcd5509,2,V_ok,V_bad,2026-09-22T21:23:44.632210Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq10:2f3f03db6a94,a2:seq11:d3e84b69bfe3 a3:seq12:d2e01b3198b9,PASS,N,0,0.72,
etcd5509,3,V_bad,V_bad,2026-09-22T21:23:47.324471Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq13:0ecad48d2344,a2:seq14:692044b3985c a3:seq15:14558c05da8c,FOCAL_DEFECT_WITNESS,S,1,43.491,
etcd5509,3,V_bad,V_bad,2026-09-22T21:23:47.324471Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq13:0ecad48d2344 a2:seq14:692044b3985c a3:seq15:14558c05da8c,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.5,
etcd5509,3,V_bad,V_bad,2026-09-22T21:23:47.324471Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq13:0ecad48d2344 a2:seq14:692044b3985c a3:seq15:14558c05da8c,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.5,
etcd5509,3,V_ok,V_bad,2026-09-22T21:25:57.826370Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq16:3a6491dfae5c,a2:seq17:d0ef7a0502af a3:seq18:b9d355cb83f0,PASS,N,0,0.66,
etcd5509,3,V_ok,V_bad,2026-09-22T21:25:57.826370Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq16:3a6491dfae5c,a2:seq17:d0ef7a0502af a3:seq18:b9d355cb83f0,PASS,N,0,0.66,
etcd5509,3,V_ok,V_bad,2026-09-22T21:25:57.826370Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq16:3a6491dfae5c,a2:seq17:d0ef7a0502af a3:seq18:b9d355cb83f0,PASS,N,0,0.66,
etcd5509,4,V_bad,V_ok,2026-09-22T21:26:02.488873Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq22:5ba0d8cf2eb9,a2:seq23:4bf9223408c6 a3:seq24:f7aced019947,FOCAL_DEFECT_WITNESS,S,1,43.563,
etcd5509,4,V_bad,V_ok,2026-09-22T21:26:02.488873Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq22:5ba0d8cf2eb9 a2:seq23:4bf9223408c6 a3:seq24:f7aced019947,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.556,
