episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd7492,1,V_bad,V_ok,2026-09-22T21:39:28.563846Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq4:3440e21ed4d9,a2:seq5:7135aefabfe5 a3:seq6:273d3a6f0079,PASS,S,0,0.709,
etcd7492,1,V_bad,V_ok,2026-09-22T21:39:28.563846Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq4:3440e21ed4d9,a2:seq5:7135aefabfe5 a3:seq6:273d3a6f0079,PASS,S,0,0.709,
etcd7492,1,V_bad,V_ok,2026-09-22T21:39:28.563846Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq4:3440e21ed4d9,a2:seq5:7135aefabfe5 a3:seq6:273d3a6f0079,PASS,S,0,0.709,
etcd7492,1,V_ok,V_ok,2026-09-22T21:39:26.601345Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq1:dadbf73713bf,a2:seq2:468031ced5f9 a3:seq3:83ae8f058bc3,PASS,N,0,0.719,
etcd7492,1,V_ok,V_ok,2026-09-22T21:39:26.601345Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq1:dadbf73713bf,a2:seq2:468031ced5f9 a3:seq3:83ae8f058bc3,PASS,N,0,0.719,
etcd7492,1,V_ok,V_ok,2026-09-22T21:39:26.601345Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq1:dadbf73713bf,a2:seq2:468031ced5f9 a3:seq3:83ae8f058bc3,PASS,N,0,0.719,
etcd7492,2,V_bad,V_ok,2026-09-22T21:39:33.245305Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq10:58a1bc3e0b45,a2:seq11:959d15a95304 a3:seq12:042df64f1d88,FOCAL_DEFECT_WITNESS,S,1,48.213,
etcd7492,2,V_bad,V_ok,2026-09-22T21:39:33.245305Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,2,a1:seq10:58a1bc3e0b45 a2:seq11:959d15a95304,a3:seq12:042df64f1d88,FOCAL_DEFECT_WITNESS | PASS,S,0,48.893,
etcd7492,2,V_bad,V_ok,2026-09-22T21:39:33.245305Z,P3-retain,ACCEPT,ACCEPT_WITH_PRIOR_FAILURE,P3-retain: P3's prefix and decision; accept after a failure is flagged,2,a1:seq10:58a1bc3e0b45 a2:seq11:959d15a95304,a3:seq12:042df64f1d88,FOCAL_DEFECT_WITNESS | PASS,S,0,48.893,
etcd7492,2,V_ok,V_ok,2026-09-22T21:39:31.343560Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq7:ccd999198642,a2:seq8:a9055ad7dda3 a3:seq9:ec5be8567121,PASS,N,0,0.628,
etcd7492,2,V_ok,V_ok,2026-09-22T21:39:31.343560Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq7:ccd999198642,a2:seq8:a9055ad7dda3 a3:seq9:ec5be8567121,PASS,N,0,0.628,
etcd7492,2,V_ok,V_ok,2026-09-22T21:39:31.343560Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq7:ccd999198642,a2:seq8:a9055ad7dda3 a3:seq9:ec5be8567121,PASS,N,0,0.628,
etcd7492,3,V_bad,V_ok,2026-09-22T21:40:25.582149Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq16:81db05d31ada,a2:seq17:5f94955429aa a3:seq18:85656bd84f4e,PASS,S,0,0.939,
etcd7492,3,V_bad,V_ok,2026-09-22T21:40:25.582149Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq16:81db05d31ada,a2:seq17:5f94955429aa a3:seq18:85656bd84f4e,PASS,S,0,0.939,
etcd7492,3,V_bad,V_ok,2026-09-22T21:40:25.582149Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq16:81db05d31ada,a2:seq17:5f94955429aa a3:seq18:85656bd84f4e,PASS,S,0,0.939,
etcd7492,3,V_ok,V_ok,2026-09-22T21:40:23.492379Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq13:fc6125b85180,a2:seq14:7f2d0c6193f3 a3:seq15:9ab503af03bd,PASS,N,0,0.655,
etcd7492,3,V_ok,V_ok,2026-09-22T21:40:23.492379Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq13:fc6125b85180,a2:seq14:7f2d0c6193f3 a3:seq15:9ab503af03bd,PASS,N,0,0.655,
