episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
grpc1859,211,V_bad,V_bad,2026-09-23T09:34:51.432835Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq1:46800643ac06,a2:seq2:28d78a310121 a3:seq3:a284816059f9,HARNESS_INVALID,S,,10.565,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,211,V_bad,V_bad,2026-09-23T09:34:51.432835Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq1:46800643ac06,a2:seq2:28d78a310121 a3:seq3:a284816059f9,HARNESS_INVALID,S,,10.565,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,211,V_bad,V_bad,2026-09-23T09:34:51.432835Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq1:46800643ac06,a2:seq2:28d78a310121 a3:seq3:a284816059f9,HARNESS_INVALID,S,,10.565,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,211,V_ok,V_bad,2026-09-23T09:35:22.913991Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq4:738238f0bbce,a2:seq5:d15aa2cdc095 a3:seq6:f87e11395a53,HARNESS_INVALID,N,,10.559,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,211,V_ok,V_bad,2026-09-23T09:35:22.913991Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq4:738238f0bbce,a2:seq5:d15aa2cdc095 a3:seq6:f87e11395a53,HARNESS_INVALID,N,,10.559,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,211,V_ok,V_bad,2026-09-23T09:35:22.913991Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq4:738238f0bbce,a2:seq5:d15aa2cdc095 a3:seq6:f87e11395a53,HARNESS_INVALID,N,,10.559,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_bad,V_ok,2026-09-23T09:36:26.413054Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq10:512aefd351bb,a2:seq11:c00bf28b859e a3:seq12:d561126ab7d8,HARNESS_INVALID,S,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_bad,V_ok,2026-09-23T09:36:26.413054Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq10:512aefd351bb,a2:seq11:c00bf28b859e a3:seq12:d561126ab7d8,HARNESS_INVALID,S,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_bad,V_ok,2026-09-23T09:36:26.413054Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq10:512aefd351bb,a2:seq11:c00bf28b859e a3:seq12:d561126ab7d8,HARNESS_INVALID,S,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_ok,V_ok,2026-09-23T09:35:54.985738Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq7:388862c996f4,a2:seq8:7730746eb4b9 a3:seq9:eafb97395c16,HARNESS_INVALID,N,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_ok,V_ok,2026-09-23T09:35:54.985738Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq7:388862c996f4,a2:seq8:7730746eb4b9 a3:seq9:eafb97395c16,HARNESS_INVALID,N,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,212,V_ok,V_ok,2026-09-23T09:35:54.985738Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq7:388862c996f4,a2:seq8:7730746eb4b9 a3:seq9:eafb97395c16,HARNESS_INVALID,N,,10.524,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_bad,V_bad,2026-09-23T09:36:58.471847Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq13:2cb5f9b8b7db,a2:seq14:809ff13f11aa a3:seq15:d7a5a21571f9,HARNESS_INVALID,S,,10.463,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_bad,V_bad,2026-09-23T09:36:58.471847Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq13:2cb5f9b8b7db,a2:seq14:809ff13f11aa a3:seq15:d7a5a21571f9,HARNESS_INVALID,S,,10.463,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_bad,V_bad,2026-09-23T09:36:58.471847Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq13:2cb5f9b8b7db,a2:seq14:809ff13f11aa a3:seq15:d7a5a21571f9,HARNESS_INVALID,S,,10.463,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_ok,V_bad,2026-09-23T09:37:29.858721Z,P1,INDETERMINATE,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq16:1af54a806a14,a2:seq17:76afe03e219e a3:seq18:267938dc2611,HARNESS_INVALID,N,,10.368,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_ok,V_bad,2026-09-23T09:37:29.858721Z,P3,INDETERMINATE,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq16:1af54a806a14,a2:seq17:76afe03e219e a3:seq18:267938dc2611,HARNESS_INVALID,N,,10.368,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
grpc1859,213,V_ok,V_bad,2026-09-23T09:37:29.858721Z,P3-retain,INDETERMINATE,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq16:1af54a806a14,a2:seq17:76afe03e219e a3:seq18:267938dc2611,HARNESS_INVALID,N,,10.368,"attempt 1 is missing or harness-invalid, so the policy's decision is undetermined"
