episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,201,V_bad,V_ok,2026-09-23T09:34:12.021610Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq4:c55a49dd1ca6,a2:seq5:8bfd831f4c4f a3:seq6:6cb996362d4d,PASS,S,0,0.604,
etcd5509,201,V_bad,V_ok,2026-09-23T09:34:12.021610Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq4:c55a49dd1ca6,a2:seq5:8bfd831f4c4f a3:seq6:6cb996362d4d,PASS,S,0,0.604,
etcd5509,201,V_bad,V_ok,2026-09-23T09:34:12.021610Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq4:c55a49dd1ca6,a2:seq5:8bfd831f4c4f a3:seq6:6cb996362d4d,PASS,S,0,0.604,
etcd5509,201,V_ok,V_ok,2026-09-23T09:34:10.087497Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq1:dad39c5f2d81,a2:seq2:d34b4c2a459f a3:seq3:547daa4c3628,PASS,N,0,0.678,
etcd5509,201,V_ok,V_ok,2026-09-23T09:34:10.087497Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq1:dad39c5f2d81,a2:seq2:d34b4c2a459f a3:seq3:547daa4c3628,PASS,N,0,0.678,
etcd5509,201,V_ok,V_ok,2026-09-23T09:34:10.087497Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq1:dad39c5f2d81,a2:seq2:d34b4c2a459f a3:seq3:547daa4c3628,PASS,N,0,0.678,
etcd5509,202,V_bad,V_ok,2026-09-23T09:34:16.260164Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq10:90e63730aefe,a2:seq11:44f9799c68dd a3:seq12:519e789a5fad,PASS,S,0,0.616,
etcd5509,202,V_bad,V_ok,2026-09-23T09:34:16.260164Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq10:90e63730aefe,a2:seq11:44f9799c68dd a3:seq12:519e789a5fad,PASS,S,0,0.616,
etcd5509,202,V_bad,V_ok,2026-09-23T09:34:16.260164Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq10:90e63730aefe,a2:seq11:44f9799c68dd a3:seq12:519e789a5fad,PASS,S,0,0.616,
etcd5509,202,V_ok,V_ok,2026-09-23T09:34:14.481945Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq7:693912ef7b56,a2:seq8:9ceb1eb1db2c a3:seq9:05b9e4cbf1ce,PASS,N,0,0.602,
etcd5509,202,V_ok,V_ok,2026-09-23T09:34:14.481945Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq7:693912ef7b56,a2:seq8:9ceb1eb1db2c a3:seq9:05b9e4cbf1ce,PASS,N,0,0.602,
etcd5509,202,V_ok,V_ok,2026-09-23T09:34:14.481945Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq7:693912ef7b56,a2:seq8:9ceb1eb1db2c a3:seq9:05b9e4cbf1ce,PASS,N,0,0.602,
etcd5509,203,V_bad,V_ok,2026-09-23T09:34:20.437006Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq16:65047f6b1a1d,a2:seq17:f07393a10d35 a3:seq18:e9b0a764131b,PASS,S,0,0.588,
etcd5509,203,V_bad,V_ok,2026-09-23T09:34:20.437006Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq16:65047f6b1a1d,a2:seq17:f07393a10d35 a3:seq18:e9b0a764131b,PASS,S,0,0.588,
etcd5509,203,V_bad,V_ok,2026-09-23T09:34:20.437006Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq16:65047f6b1a1d,a2:seq17:f07393a10d35 a3:seq18:e9b0a764131b,PASS,S,0,0.588,
etcd5509,203,V_ok,V_ok,2026-09-23T09:34:18.705494Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq13:bce69d8c2fb3,a2:seq14:3fa8b0c499a5 a3:seq15:6a3bfbb8d6f3,PASS,N,0,0.584,
etcd5509,203,V_ok,V_ok,2026-09-23T09:34:18.705494Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq13:bce69d8c2fb3,a2:seq14:3fa8b0c499a5 a3:seq15:6a3bfbb8d6f3,PASS,N,0,0.584,
etcd5509,203,V_ok,V_ok,2026-09-23T09:34:18.705494Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq13:bce69d8c2fb3,a2:seq14:3fa8b0c499a5 a3:seq15:6a3bfbb8d6f3,PASS,N,0,0.584,
etcd5509,204,V_bad,V_bad,2026-09-23T09:34:22.879111Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq19:d3b16882cc0d,a2:seq20:4821cb6cf1e8 a3:seq21:3a26c19e3e98,PASS,S,0,0.587,
etcd5509,204,V_bad,V_bad,2026-09-23T09:34:22.879111Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq19:d3b16882cc0d,a2:seq20:4821cb6cf1e8 a3:seq21:3a26c19e3e98,PASS,S,0,0.587,
etcd5509,204,V_bad,V_bad,2026-09-23T09:34:22.879111Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq19:d3b16882cc0d,a2:seq20:4821cb6cf1e8 a3:seq21:3a26c19e3e98,PASS,S,0,0.587,
etcd5509,204,V_ok,V_bad,2026-09-23T09:34:24.648981Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq22:aa3b363fa24b,a2:seq23:80b27ae21bde a3:seq24:7ea4c9193169,PASS,N,0,0.608,
etcd5509,204,V_ok,V_bad,2026-09-23T09:34:24.648981Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq22:aa3b363fa24b,a2:seq23:80b27ae21bde a3:seq24:7ea4c9193169,PASS,N,0,0.608,
etcd5509,204,V_ok,V_bad,2026-09-23T09:34:24.648981Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq22:aa3b363fa24b,a2:seq23:80b27ae21bde a3:seq24:7ea4c9193169,PASS,N,0,0.608,
etcd5509,205,V_bad,V_ok,2026-09-23T09:34:28.864857Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq28:f69f3c5fecf8,a2:seq29:6caf1b4e47ba a3:seq30:8226f4472883,PASS,S,0,0.603,
etcd5509,205,V_bad,V_ok,2026-09-23T09:34:28.864857Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq28:f69f3c5fecf8,a2:seq29:6caf1b4e47ba a3:seq30:8226f4472883,PASS,S,0,0.603,
etcd5509,205,V_bad,V_ok,2026-09-23T09:34:28.864857Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq28:f69f3c5fecf8,a2:seq29:6caf1b4e47ba a3:seq30:8226f4472883,PASS,S,0,0.603,
etcd5509,205,V_ok,V_ok,2026-09-23T09:34:27.092656Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq25:5b252b0ed79e,a2:seq26:e83780e17db9 a3:seq27:ef41a5c3452c,PASS,N,0,0.614,
etcd5509,205,V_ok,V_ok,2026-09-23T09:34:27.092656Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq25:5b252b0ed79e,a2:seq26:e83780e17db9 a3:seq27:ef41a5c3452c,PASS,N,0,0.614,
etcd5509,205,V_ok,V_ok,2026-09-23T09:34:27.092656Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq25:5b252b0ed79e,a2:seq26:e83780e17db9 a3:seq27:ef41a5c3452c,PASS,N,0,0.614,
