cycle,m,n,rank_sum_hist,rank_sum_t0,n_rank_sets_hist,n_rank_sets_t0,m1_diff,m2_diff_min,m2_diff_max,m2_apfd_hist_min,m2_apfd_hist_max,m2_apfd_t0_min,m2_apfd_t0_max,m3_diff_min,m3_diff_max
188,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
202,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
214,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
218,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
220,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
223,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
224,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
225,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
228,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
229,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
231,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
233,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
235,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
236,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
238,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
239,1,3,1,1,1,1,0.000000,0.000000,0.000000,0.833333,0.833333,0.833333,0.833333,0.000000,0.000000
465,3,49,112,112,102,102,0.000000,-0.428571,0.428571,0.275510,0.704082,0.275510,0.704082,-0.428571,0.428571
469,3,51,9,6,3,1,0.019608,0.000000,0.019608,0.970588,0.990196,0.990196,0.990196,-0.009804,0.039216
470,2,51,3,3,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,0.000000,0.000000
476,3,51,7,37,1,96,-0.196078,-0.196078,0.000000,0.990196,0.990196,0.794118,0.990196,-0.313725,0.019608
477,3,51,6,6,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,-0.009804,0.009804
478,3,51,6,6,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,-0.009804,0.009804
480,3,51,6,6,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,-0.009804,0.009804
484,3,51,82,69,310,299,0.084967,-0.411765,0.490196,0.500000,0.990196,0.578431,0.990196,-0.411765,0.490196
485,3,51,27,6,48,1,0.137255,0.000000,0.137255,0.852941,0.990196,0.990196,0.990196,-0.009804,0.215686
487,3,51,6,6,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,-0.009804,0.009804
490,3,51,6,6,1,1,0.000000,0.000000,0.000000,0.990196,0.990196,0.990196,0.990196,-0.009804,0.009804
493,3,51,69,43,299,133,0.169935,-0.235294,0.411765,0.578431,0.990196,0.754902,0.990196,-0.235294,0.549020
494,3,51,8,69,2,299,-0.398693,-0.411765,0.000000,0.990196,0.990196,0.578431,0.990196,-0.549020,0.000000
495,3,51,69,69,299,299,0.000000,-0.411765,0.411765,0.578431,0.990196,0.578431,0.990196,-0.411765,0.411765
