cycle,m,n,hist_fail_ranks,t0_fail_ranks,m1_hist,m1_t0,m1_diff,m2_hist,m2_t0,m2_diff,m3_diff_min,m3_diff_max,n_partitions
188,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
202,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
214,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
218,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
220,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
223,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
224,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
225,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
228,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
229,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
231,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
233,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
235,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
236,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
238,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
239,1,3,[1],[1],0.833333,0.833333,0.000000,0.833333,0.833333,0.000000,0.000000,0.000000,1
465,3,49,"[24, 41, 47]","[24, 41, 47]",0.248299,0.248299,0.000000,0.520408,0.520408,0.000000,0.000000,0.000000,5
469,3,51,"[2, 3, 4]","[1, 2, 3]",0.950980,0.970588,0.019608,0.970588,0.990196,0.019608,0.009804,0.029412,5
470,2,51,"[1, 2]","[1, 2]",0.980392,0.980392,0.000000,0.990196,0.990196,0.000000,0.000000,0.000000,2
476,3,51,"[1, 2, 4]","[1, 2, 34]",0.964052,0.767974,-0.196078,0.990196,0.990196,0.000000,-0.294118,0.000000,5
477,3,51,"[1, 2, 3]","[1, 2, 3]",0.970588,0.970588,0.000000,0.990196,0.990196,0.000000,-0.009804,0.009804,5
478,3,51,"[1, 2, 3]","[1, 2, 3]",0.970588,0.970588,0.000000,0.990196,0.990196,0.000000,-0.009804,0.009804,5
480,3,51,"[1, 2, 3]","[1, 2, 3]",0.970588,0.970588,0.000000,0.990196,0.990196,0.000000,-0.009804,0.009804,5
484,3,51,"[22, 23, 37]","[22, 23, 24]",0.473856,0.558824,0.084967,0.578431,0.578431,0.000000,0.000000,0.127451,5
485,3,51,"[1, 2, 24]","[1, 2, 3]",0.833333,0.970588,0.137255,0.990196,0.990196,0.000000,0.000000,0.205882,5
487,3,51,"[1, 2, 3]","[1, 2, 3]",0.970588,0.970588,0.000000,0.990196,0.990196,0.000000,0.000000,0.000000,5
490,3,51,"[1, 2, 3]","[1, 2, 3]",0.970588,0.970588,0.000000,0.990196,0.990196,0.000000,0.000000,0.000000,5
493,3,51,"[22, 23, 24]","[1, 18, 24]",0.558824,0.728758,0.169935,0.578431,0.990196,0.411765,0.169935,0.411765,5
494,3,51,"[1, 2, 5]","[22, 23, 24]",0.957516,0.558824,-0.398693,0.990196,0.578431,-0.411765,-0.411765,-0.392157,5
495,3,51,"[22, 23, 24]","[22, 23, 24]",0.558824,0.558824,0.000000,0.578431,0.578431,0.000000,0.000000,0.000000,5
