cycle,partition,k,apfd_hist,apfd_t0,diff
188,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
202,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
214,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
218,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
220,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
223,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
224,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
225,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
228,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
229,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
231,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
233,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
235,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
236,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
238,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
239,org.apache.airavata.common.utils.ThriftClientPoolTest,1,0.833333,0.833333,0.000000
465,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.520408,0.520408,0.000000
465,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.285714,0.285714,0.000000
465,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.346939,0.346939,0.000000
465,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.346939,0.346939,0.000000
465,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.248299,0.248299,0.000000
469,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.970588,0.990196,0.019608
469,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.950980,0.980392,0.029412
469,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.960784,0.970588,0.009804
469,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.960784,0.980392,0.019608
469,org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,3,0.950980,0.970588,0.019608
470,"org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
470,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest,2,0.980392,0.980392,0.000000
476,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",1,0.990196,0.990196,0.000000
476,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.960784,0.666667,-0.294118
476,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest",2,0.980392,0.980392,0.000000
476,"org.apache.airavata.registry.core.repositories.appcatalog.GatewayGroupsRepositoryTest,org.apache.airavata.registry.core.repositories.replicacatalog.DataReplicaLocationRepositoryTest | org.apache.airavata.registry.core.repositories.replicacatalog.DataProductRepositoryTest",2,0.980392,0.980392,0.000000
