version,attempt,start_utc,end_utc,elapsed_s,exit_code,classification,note
vbad,1,2026-09-19T10:12:19.041851300Z,2026-09-19T10:12:19.766324900Z,0.724,0,PASS,
vbad,2,2026-09-19T10:12:19.855100500Z,2026-09-19T10:13:05.273122600Z,45.417,2,FOCAL_DEFECT_WITNESS_A,reclassified from UNRESOLVED_TIMEOUT_NO_SIGNATURE per final signature (a)
vbad,3,2026-09-19T10:13:05.418601400Z,2026-09-19T10:13:06.138361400Z,0.719,0,PASS,
vbad,4,2026-09-19T10:13:06.227617400Z,2026-09-19T10:13:51.817398500Z,45.589,2,FOCAL_DEFECT_WITNESS_A,
vbad,5,2026-09-19T10:13:51.956917500Z,2026-09-19T10:14:37.333858300Z,45.375,2,FOCAL_DEFECT_WITNESS_A,reclassified from UNRESOLVED_TIMEOUT_NO_SIGNATURE per final signature (a)
vbad,6,2026-09-19T10:14:37.472924200Z,2026-09-19T10:15:23.179838500Z,45.707,2,FOCAL_DEFECT_WITNESS_A,reclassified from UNRESOLVED_TIMEOUT_NO_SIGNATURE per final signature (a)
vbad,7,2026-09-19T10:15:23.318618100Z,2026-09-19T10:16:08.663952300Z,45.345,2,FOCAL_DEFECT_WITNESS_A,
vbad,8,2026-09-19T10:16:08.810587600Z,2026-09-19T10:16:09.479345700Z,0.670,0,PASS,
vbad,9,2026-09-19T10:16:09.564677200Z,2026-09-19T10:16:10.275249200Z,0.709,0,PASS,
vbad,10,2026-09-19T10:16:10.362564700Z,2026-09-19T10:16:55.976901700Z,45.613,2,FOCAL_DEFECT_WITNESS_A,
vok,1,2026-09-19T10:16:56.138120400Z,2026-09-19T10:16:56.881315100Z,0.744,0,PASS,
vok,2,2026-09-19T10:16:56.967409800Z,2026-09-19T10:16:57.592904500Z,0.625,0,PASS,
vok,3,2026-09-19T10:16:57.680743900Z,2026-09-19T10:16:58.359603100Z,0.679,0,PASS,
vok,4,2026-09-19T10:16:58.444694300Z,2026-09-19T10:16:59.126786800Z,0.681,0,PASS,
vok,5,2026-09-19T10:16:59.211122700Z,2026-09-19T10:16:59.834762200Z,0.612,0,PASS,
vok,6,2026-09-19T10:16:59.918939900Z,2026-09-19T10:17:00.597885700Z,0.678,0,PASS,
vok,7,2026-09-19T10:17:00.683629000Z,2026-09-19T10:17:01.376044000Z,0.692,0,PASS,
vok,8,2026-09-19T10:17:01.461294100Z,2026-09-19T10:17:02.057390900Z,0.597,0,PASS,
vok,9,2026-09-19T10:17:02.141808500Z,2026-09-19T10:17:02.827795600Z,0.680,0,PASS,
vok,10,2026-09-19T10:17:02.931406100Z,2026-09-19T10:17:03.654250900Z,0.723,0,PASS,
vbad,11,2026-09-19T10:22:17.003895500Z,2026-09-19T10:23:02.423197100Z,45.419,2,FOCAL_DEFECT_WITNESS_A,
vbad,12,2026-09-19T10:23:02.659645000Z,2026-09-19T10:23:48.248136400Z,45.585,2,FOCAL_DEFECT_WITNESS_A,
vbad,13,2026-09-19T10:23:48.484047300Z,2026-09-19T10:24:33.879058500Z,45.394,2,FOCAL_DEFECT_WITNESS_A,
vbad,14,2026-09-19T10:24:34.115556300Z,2026-09-19T10:25:19.718875400Z,45.583,2,FOCAL_DEFECT_WITNESS_A,
vbad,15,2026-09-19T10:25:20.193178800Z,2026-09-19T10:26:05.612907100Z,45.418,2,FOCAL_DEFECT_WITNESS_A,
vbad,16,2026-09-19T10:26:05.870173400Z,2026-09-19T10:26:51.471740100Z,45.601,2,FOCAL_DEFECT_WITNESS_A,
vbad,17,2026-09-19T10:26:51.719934300Z,2026-09-19T10:27:37.098970600Z,45.377,2,FOCAL_DEFECT_WITNESS_A,
vbad,18,2026-09-19T10:27:37.351879800Z,2026-09-19T10:28:22.934875400Z,45.583,2,FOCAL_DEFECT_WITNESS_A,
vbad,19,2026-09-19T10:28:23.159234000Z,2026-09-19T10:29:08.509138700Z,45.349,2,FOCAL_DEFECT_WITNESS_A,
vbad,20,2026-09-19T10:29:08.751249300Z,2026-09-19T10:29:54.316426800Z,45.565,2,FOCAL_DEFECT_WITNESS_A,
vok,11,2026-09-19T10:29:54.567928900Z,2026-09-19T10:29:55.289148900Z,0.722,0,PASS,
vok,12,2026-09-19T10:29:55.377734300Z,2026-09-19T10:29:56.090567800Z,0.711,0,PASS,
vok,13,2026-09-19T10:29:56.179512000Z,2026-09-19T10:29:56.851678500Z,0.671,0,PASS,
vok,14,2026-09-19T10:29:56.938062400Z,2026-09-19T10:29:57.534609800Z,0.595,0,PASS,
vok,15,2026-09-19T10:29:57.625346300Z,2026-09-19T10:29:58.317594900Z,0.692,0,PASS,
vok,16,2026-09-19T10:29:58.405492400Z,2026-09-19T10:29:59.083365100Z,0.677,0,PASS,
vok,17,2026-09-19T10:29:59.171841500Z,2026-09-19T10:29:59.761092100Z,0.588,0,PASS,
vok,18,2026-09-19T10:29:59.848989900Z,2026-09-19T10:30:00.561788800Z,0.713,0,PASS,
vok,19,2026-09-19T10:30:00.648538400Z,2026-09-19T10:30:01.313800300Z,0.665,0,PASS,
vok,20,2026-09-19T10:30:01.402302900Z,2026-09-19T10:30:02.021891100Z,0.618,0,PASS,
