version,attempt,start_utc,end_utc,elapsed_s,exit_code,classification,note
vbad,1,2026-09-19T10:12:19.041851300Z,2026-09-19T10:12:19.766324900Z,0.724,0,PASS,
vbad,2,2026-09-19T10:12:19.855100500Z,2026-09-19T10:13:05.273122600Z,45.417,2,UNRESOLVED_TIMEOUT_NO_SIGNATURE,
vbad,3,2026-09-19T10:13:05.418601400Z,2026-09-19T10:13:06.138361400Z,0.719,0,PASS,
vbad,4,2026-09-19T10:13:06.227617400Z,2026-09-19T10:13:51.817398500Z,45.589,2,FOCAL_DEFECT_WITNESS_A,
vbad,5,2026-09-19T10:13:51.956917500Z,2026-09-19T10:14:37.333858300Z,45.375,2,UNRESOLVED_TIMEOUT_NO_SIGNATURE,
vbad,6,2026-09-19T10:14:37.472924200Z,2026-09-19T10:15:23.179838500Z,45.707,2,UNRESOLVED_TIMEOUT_NO_SIGNATURE,
vbad,7,2026-09-19T10:15:23.318618100Z,2026-09-19T10:16:08.663952300Z,45.345,2,FOCAL_DEFECT_WITNESS_A,
vbad,8,2026-09-19T10:16:08.810587600Z,2026-09-19T10:16:09.479345700Z,0.670,0,PASS,
vbad,9,2026-09-19T10:16:09.564677200Z,2026-09-19T10:16:10.275249200Z,0.709,0,PASS,
vbad,10,2026-09-19T10:16:10.362564700Z,2026-09-19T10:16:55.976901700Z,45.613,2,FOCAL_DEFECT_WITNESS_A,
vok,1,2026-09-19T10:16:56.138120400Z,2026-09-19T10:16:56.881315100Z,0.744,0,PASS,
vok,2,2026-09-19T10:16:56.967409800Z,2026-09-19T10:16:57.592904500Z,0.625,0,PASS,
vok,3,2026-09-19T10:16:57.680743900Z,2026-09-19T10:16:58.359603100Z,0.679,0,PASS,
vok,4,2026-09-19T10:16:58.444694300Z,2026-09-19T10:16:59.126786800Z,0.681,0,PASS,
vok,5,2026-09-19T10:16:59.211122700Z,2026-09-19T10:16:59.834762200Z,0.612,0,PASS,
vok,6,2026-09-19T10:16:59.918939900Z,2026-09-19T10:17:00.597885700Z,0.678,0,PASS,
vok,7,2026-09-19T10:17:00.683629000Z,2026-09-19T10:17:01.376044000Z,0.692,0,PASS,
vok,8,2026-09-19T10:17:01.461294100Z,2026-09-19T10:17:02.057390900Z,0.597,0,PASS,
vok,9,2026-09-19T10:17:02.141808500Z,2026-09-19T10:17:02.827795600Z,0.680,0,PASS,
vok,10,2026-09-19T10:17:02.931406100Z,2026-09-19T10:17:03.654250900Z,0.723,0,PASS,
