version,attempt,start_utc,end_utc,elapsed_s,exit_code,classification,note
vbad,11,2026-09-19T10:22:17.003895500Z,2026-09-19T10:23:02.423197100Z,45.419,2,FOCAL_DEFECT_WITNESS_A,
vbad,12,2026-09-19T10:23:02.659645000Z,2026-09-19T10:23:48.248136400Z,45.585,2,FOCAL_DEFECT_WITNESS_A,
vbad,13,2026-09-19T10:23:48.484047300Z,2026-09-19T10:24:33.879058500Z,45.394,2,FOCAL_DEFECT_WITNESS_A,
vbad,14,2026-09-19T10:24:34.115556300Z,2026-09-19T10:25:19.718875400Z,45.583,2,FOCAL_DEFECT_WITNESS_A,
vbad,15,2026-09-19T10:25:20.193178800Z,2026-09-19T10:26:05.612907100Z,45.418,2,FOCAL_DEFECT_WITNESS_A,
vbad,16,2026-09-19T10:26:05.870173400Z,2026-09-19T10:26:51.471740100Z,45.601,2,FOCAL_DEFECT_WITNESS_A,
vbad,17,2026-09-19T10:26:51.719934300Z,2026-09-19T10:27:37.098970600Z,45.377,2,FOCAL_DEFECT_WITNESS_A,
vbad,18,2026-09-19T10:27:37.351879800Z,2026-09-19T10:28:22.934875400Z,45.583,2,FOCAL_DEFECT_WITNESS_A,
vbad,19,2026-09-19T10:28:23.159234000Z,2026-09-19T10:29:08.509138700Z,45.349,2,FOCAL_DEFECT_WITNESS_A,
vbad,20,2026-09-19T10:29:08.751249300Z,2026-09-19T10:29:54.316426800Z,45.565,2,FOCAL_DEFECT_WITNESS_A,
vok,11,2026-09-19T10:29:54.567928900Z,2026-09-19T10:29:55.289148900Z,0.722,0,PASS,
vok,12,2026-09-19T10:29:55.377734300Z,2026-09-19T10:29:56.090567800Z,0.711,0,PASS,
vok,13,2026-09-19T10:29:56.179512000Z,2026-09-19T10:29:56.851678500Z,0.671,0,PASS,
vok,14,2026-09-19T10:29:56.938062400Z,2026-09-19T10:29:57.534609800Z,0.595,0,PASS,
vok,15,2026-09-19T10:29:57.625346300Z,2026-09-19T10:29:58.317594900Z,0.692,0,PASS,
vok,16,2026-09-19T10:29:58.405492400Z,2026-09-19T10:29:59.083365100Z,0.677,0,PASS,
vok,17,2026-09-19T10:29:59.171841500Z,2026-09-19T10:29:59.761092100Z,0.588,0,PASS,
vok,18,2026-09-19T10:29:59.848989900Z,2026-09-19T10:30:00.561788800Z,0.713,0,PASS,
vok,19,2026-09-19T10:30:00.648538400Z,2026-09-19T10:30:01.313800300Z,0.665,0,PASS,
vok,20,2026-09-19T10:30:01.402302900Z,2026-09-19T10:30:02.021891100Z,0.618,0,PASS,
