version,attempt,start_utc,end_utc,elapsed_s,exit_code,logfile
vbad,1,2026-09-19T11:04:27.216328000Z,2026-09-19T11:04:27.967882400Z,0.714,0,attempts/vbad_attempt_1.log
vbad,2,2026-09-19T11:04:28.062785400Z,2026-09-19T11:05:18.591938200Z,50.492,2,attempts/vbad_attempt_2.log
vbad,3,2026-09-19T11:05:18.636085100Z,2026-09-19T11:05:19.348452500Z,0.675,0,attempts/vbad_attempt_3.log
vbad,4,2026-09-19T11:05:19.392393400Z,2026-09-19T11:05:20.153183200Z,0.722,0,attempts/vbad_attempt_4.log
vbad,5,2026-09-19T11:05:20.197460500Z,2026-09-19T11:05:20.932892300Z,0.697,0,attempts/vbad_attempt_5.log
vbad,6,2026-09-19T11:05:20.982729300Z,2026-09-19T11:05:21.725123400Z,0.705,0,attempts/vbad_attempt_6.log
vbad,7,2026-09-19T11:05:21.768820800Z,2026-09-19T11:05:22.481522700Z,0.671,0,attempts/vbad_attempt_7.log
vbad,8,2026-09-19T11:05:22.531784100Z,2026-09-19T11:05:23.305965100Z,0.735,0,attempts/vbad_attempt_8.log
vbad,9,2026-09-19T11:05:23.350207800Z,2026-09-19T11:05:24.109386100Z,0.720,0,attempts/vbad_attempt_9.log
vbad,10,2026-09-19T11:05:24.160748700Z,2026-09-19T11:05:24.911393100Z,0.708,0,attempts/vbad_attempt_10.log
vok,1,2026-09-19T11:05:31.756867600Z,2026-09-19T11:05:32.481822400Z,0.687,0,attempts/vok_attempt_1.log
vok,2,2026-09-19T11:05:32.526966600Z,2026-09-19T11:05:33.224700900Z,0.660,0,attempts/vok_attempt_2.log
vok,3,2026-09-19T11:05:33.271857100Z,2026-09-19T11:05:34.024460400Z,0.714,0,attempts/vok_attempt_3.log
vok,4,2026-09-19T11:05:34.071054200Z,2026-09-19T11:05:34.799117800Z,0.683,0,attempts/vok_attempt_4.log
vok,5,2026-09-19T11:05:34.840377200Z,2026-09-19T11:05:35.616594400Z,0.738,0,attempts/vok_attempt_5.log
vok,6,2026-09-19T11:05:35.668597000Z,2026-09-19T11:05:36.393401200Z,0.686,0,attempts/vok_attempt_6.log
vok,7,2026-09-19T11:05:36.441778100Z,2026-09-19T11:05:37.147561700Z,0.666,0,attempts/vok_attempt_7.log
vok,8,2026-09-19T11:05:37.191571700Z,2026-09-19T11:05:37.977432200Z,0.744,0,attempts/vok_attempt_8.log
vok,9,2026-09-19T11:05:38.031827800Z,2026-09-19T11:05:38.724371800Z,0.654,0,attempts/vok_attempt_9.log
vok,10,2026-09-19T11:05:38.766958100Z,2026-09-19T11:05:39.462935600Z,0.659,0,attempts/vok_attempt_10.log
vbad,11,2026-09-19T11:05:45.727638300Z,2026-09-19T11:06:35.786174300Z,50.021,2,attempts/vbad_attempt_11.log
vbad,12,2026-09-19T11:06:35.832295300Z,2026-09-19T11:06:36.550946500Z,0.681,0,attempts/vbad_attempt_12.log
vbad,13,2026-09-19T11:06:36.600181800Z,2026-09-19T11:06:37.314168700Z,0.675,0,attempts/vbad_attempt_13.log
vbad,14,2026-09-19T11:06:37.361031800Z,2026-09-19T11:06:38.091639600Z,0.692,0,attempts/vbad_attempt_14.log
vbad,15,2026-09-19T11:06:38.131822000Z,2026-09-19T11:06:38.823647900Z,0.656,0,attempts/vbad_attempt_15.log
vbad,16,2026-09-19T11:06:38.865506500Z,2026-09-19T11:06:39.575677400Z,0.673,0,attempts/vbad_attempt_16.log
vbad,17,2026-09-19T11:06:39.622702400Z,2026-09-19T11:06:40.354245900Z,0.693,0,attempts/vbad_attempt_17.log
vbad,18,2026-09-19T11:06:40.395536600Z,2026-09-19T11:06:41.089060200Z,0.655,0,attempts/vbad_attempt_18.log
vbad,19,2026-09-19T11:06:41.132907200Z,2026-09-19T11:06:41.799232600Z,0.629,0,attempts/vbad_attempt_19.log
vbad,20,2026-09-19T11:06:41.841646700Z,2026-09-19T11:06:42.548933900Z,0.669,0,attempts/vbad_attempt_20.log
vok,11,2026-09-19T11:06:50.129600000Z,2026-09-19T11:06:50.827208000Z,0.661,0,attempts/vok_attempt_11.log
vok,12,2026-09-19T11:06:50.869862500Z,2026-09-19T11:06:51.570075900Z,0.663,0,attempts/vok_attempt_12.log
vok,13,2026-09-19T11:06:51.615884700Z,2026-09-19T11:06:52.290507700Z,0.638,0,attempts/vok_attempt_13.log
vok,14,2026-09-19T11:06:52.336602000Z,2026-09-19T11:06:53.064807800Z,0.690,0,attempts/vok_attempt_14.log
vok,15,2026-09-19T11:06:53.106640200Z,2026-09-19T11:06:53.756165100Z,0.611,0,attempts/vok_attempt_15.log
vok,16,2026-09-19T11:06:53.802550100Z,2026-09-19T11:06:54.534001800Z,0.695,0,attempts/vok_attempt_16.log
vok,17,2026-09-19T11:06:54.575849000Z,2026-09-19T11:06:55.293235600Z,0.680,0,attempts/vok_attempt_17.log
vok,18,2026-09-19T11:06:55.334546000Z,2026-09-19T11:06:55.923346900Z,0.552,0,attempts/vok_attempt_18.log
vok,19,2026-09-19T11:06:55.971597800Z,2026-09-19T11:06:56.677952800Z,0.669,0,attempts/vok_attempt_19.log
vok,20,2026-09-19T11:06:56.719172000Z,2026-09-19T11:06:57.445310100Z,0.689,0,attempts/vok_attempt_20.log
