version,attempt,start_utc,end_utc,elapsed_s,exit,classification
V_bad,1,2026-09-22T17:58:32.077453700Z,2026-09-22T17:58:32.978755200Z,0.901,0,PASS
V_bad,2,2026-09-22T17:58:33.121215800Z,2026-09-22T17:58:34.005584900Z,0.882,0,PASS
V_bad,3,2026-09-22T17:58:34.151386900Z,2026-09-22T17:58:44.647178200Z,10.493,1,FOCAL_DEFECT_WITNESS_A
V_bad,4,2026-09-22T17:58:44.798439000Z,2026-09-22T17:58:45.666896600Z,0.869,0,PASS
V_bad,5,2026-09-22T17:58:45.809197500Z,2026-09-22T17:58:46.664971500Z,0.858,0,PASS
V_bad,6,2026-09-22T17:58:46.803625700Z,2026-09-22T17:58:47.643419800Z,0.839,0,PASS
V_bad,7,2026-09-22T17:58:47.781227300Z,2026-09-22T17:58:48.647883900Z,0.866,0,PASS
V_bad,8,2026-09-22T17:58:48.794532400Z,2026-09-22T17:58:49.673589400Z,0.879,0,PASS
V_bad,9,2026-09-22T17:58:49.814928000Z,2026-09-22T17:58:50.653535900Z,0.839,0,PASS
V_bad,10,2026-09-22T17:58:50.791146200Z,2026-09-22T17:58:51.623645100Z,0.831,0,PASS
V_ok,1,2026-09-22T17:58:51.785864400Z,2026-09-22T17:58:52.613087800Z,0.825,0,PASS
V_ok,2,2026-09-22T17:58:52.767866200Z,2026-09-22T17:58:53.651225600Z,0.883,0,PASS
V_ok,3,2026-09-22T17:58:53.801387400Z,2026-09-22T17:58:54.660446600Z,0.857,0,PASS
V_ok,4,2026-09-22T17:58:54.800339300Z,2026-09-22T17:58:55.592370700Z,0.789,0,PASS
V_ok,5,2026-09-22T17:58:55.729450600Z,2026-09-22T17:58:56.564821400Z,0.834,0,PASS
V_ok,6,2026-09-22T17:58:56.703338000Z,2026-09-22T17:58:57.548523200Z,0.846,0,PASS
V_ok,7,2026-09-22T17:58:57.688880700Z,2026-09-22T17:58:58.528091100Z,0.839,0,PASS
V_ok,8,2026-09-22T17:58:58.662564000Z,2026-09-22T17:58:59.476748600Z,0.811,0,PASS
V_ok,9,2026-09-22T17:58:59.619143000Z,2026-09-22T17:59:00.474055500Z,0.852,0,PASS
V_ok,10,2026-09-22T17:59:00.612659100Z,2026-09-22T17:59:01.451780100Z,0.838,0,PASS
V_bad,11,2026-09-22T17:59:13.226980800Z,2026-09-22T17:59:14.087525800Z,0.858,0,PASS
V_bad,12,2026-09-22T17:59:14.245625000Z,2026-09-22T17:59:15.119158600Z,0.876,0,PASS
V_bad,13,2026-09-22T17:59:15.257923000Z,2026-09-22T17:59:16.110400700Z,0.834,0,PASS
V_bad,14,2026-09-22T17:59:16.248150900Z,2026-09-22T17:59:17.104275500Z,0.854,0,PASS
V_bad,15,2026-09-22T17:59:17.244548700Z,2026-09-22T17:59:18.112710100Z,0.867,0,PASS
V_bad,16,2026-09-22T17:59:18.252849500Z,2026-09-22T17:59:19.095729000Z,0.840,0,PASS
V_bad,17,2026-09-22T17:59:19.239396000Z,2026-09-22T17:59:20.103262600Z,0.865,0,PASS
V_bad,18,2026-09-22T17:59:20.245397900Z,2026-09-22T17:59:21.065793400Z,0.820,0,PASS
V_bad,19,2026-09-22T17:59:21.208944900Z,2026-09-22T17:59:22.065561200Z,0.858,0,PASS
V_bad,20,2026-09-22T17:59:22.202271600Z,2026-09-22T17:59:23.030704100Z,0.828,0,PASS
V_ok,11,2026-09-22T17:59:23.194952000Z,2026-09-22T17:59:24.022151200Z,0.826,0,PASS
V_ok,12,2026-09-22T17:59:24.174056700Z,2026-09-22T17:59:24.982887400Z,0.809,0,PASS
V_ok,13,2026-09-22T17:59:25.122068400Z,2026-09-22T17:59:25.976379800Z,0.853,0,PASS
V_ok,14,2026-09-22T17:59:26.115060200Z,2026-09-22T17:59:26.907554800Z,0.790,0,PASS
V_ok,15,2026-09-22T17:59:27.044983400Z,2026-09-22T17:59:27.836385300Z,0.792,0,PASS
V_ok,16,2026-09-22T17:59:27.980106600Z,2026-09-22T17:59:28.803954000Z,0.824,0,PASS
V_ok,17,2026-09-22T17:59:28.950875000Z,2026-09-22T17:59:29.805062100Z,0.853,0,PASS
V_ok,18,2026-09-22T17:59:29.942174300Z,2026-09-22T17:59:30.733213400Z,0.791,0,PASS
V_ok,19,2026-09-22T17:59:30.883798400Z,2026-09-22T17:59:31.716258800Z,0.832,0,PASS
V_ok,20,2026-09-22T17:59:31.854004000Z,2026-09-22T17:59:32.677017000Z,0.820,0,PASS
