version,attempt,start_utc,end_utc,elapsed_s,exit,classification
V_bad,1,2026-09-25T08:34:24.390131800Z,2026-09-25T08:34:29.772941000Z,5.383,1,FOCAL_DEFECT_WITNESS_A
V_bad,2,2026-09-25T08:34:29.935761000Z,2026-09-25T08:34:35.291275800Z,5.355,1,FOCAL_DEFECT_WITNESS_A
V_bad,3,2026-09-25T08:34:35.451879600Z,2026-09-25T08:34:40.795162800Z,5.342,1,FOCAL_DEFECT_WITNESS_A
V_bad,4,2026-09-25T08:34:40.973365300Z,2026-09-25T08:34:46.306950000Z,5.334,1,FOCAL_DEFECT_WITNESS_A
V_bad,5,2026-09-25T08:34:46.479296600Z,2026-09-25T08:34:51.860751400Z,5.381,1,FOCAL_DEFECT_WITNESS_A
V_bad,6,2026-09-25T08:34:52.024018900Z,2026-09-25T08:34:57.403131800Z,5.380,1,FOCAL_DEFECT_WITNESS_A
V_bad,7,2026-09-25T08:34:57.569660600Z,2026-09-25T08:35:02.969345700Z,5.400,1,FOCAL_DEFECT_WITNESS_A
V_bad,8,2026-09-25T08:35:03.128755100Z,2026-09-25T08:35:08.493184900Z,5.362,1,FOCAL_DEFECT_WITNESS_A
V_bad,9,2026-09-25T08:35:08.676908600Z,2026-09-25T08:35:14.073661800Z,5.398,1,FOCAL_DEFECT_WITNESS_A
V_bad,10,2026-09-25T08:35:14.242613400Z,2026-09-25T08:35:19.601548300Z,5.358,1,FOCAL_DEFECT_WITNESS_A
V_ok,1,2026-09-25T08:35:19.774962800Z,2026-09-25T08:35:20.854472700Z,1.080,0,PASS
V_ok,2,2026-09-25T08:35:20.998680500Z,2026-09-25T08:35:22.063591300Z,1.064,0,PASS
V_ok,3,2026-09-25T08:35:22.216868600Z,2026-09-25T08:35:23.292672500Z,1.074,0,PASS
V_ok,4,2026-09-25T08:35:23.453254400Z,2026-09-25T08:35:24.559818200Z,1.107,0,PASS
V_ok,5,2026-09-25T08:35:24.712989700Z,2026-09-25T08:35:25.782009000Z,1.069,0,PASS
V_ok,6,2026-09-25T08:35:25.925967700Z,2026-09-25T08:35:27.000283600Z,1.072,0,PASS
V_ok,7,2026-09-25T08:35:27.142769600Z,2026-09-25T08:35:28.220981400Z,1.078,0,PASS
V_ok,8,2026-09-25T08:35:28.366879400Z,2026-09-25T08:35:29.462119100Z,1.097,0,PASS
V_ok,9,2026-09-25T08:35:29.609826300Z,2026-09-25T08:35:30.656391300Z,1.046,0,PASS
V_ok,10,2026-09-25T08:35:30.812222900Z,2026-09-25T08:35:31.877663100Z,1.065,0,PASS
V_bad,11,2026-09-25T08:35:32.021031900Z,2026-09-25T08:35:37.425319900Z,5.404,1,FOCAL_DEFECT_WITNESS_A
V_bad,12,2026-09-25T08:35:37.600734100Z,2026-09-25T08:35:42.936400100Z,5.335,1,FOCAL_DEFECT_WITNESS_A
V_bad,13,2026-09-25T08:35:43.099572000Z,2026-09-25T08:35:48.388483800Z,5.288,1,FOCAL_DEFECT_WITNESS_A
V_bad,14,2026-09-25T08:35:48.547433100Z,2026-09-25T08:35:53.926701800Z,5.378,1,FOCAL_DEFECT_WITNESS_A
V_bad,15,2026-09-25T08:35:54.091415900Z,2026-09-25T08:35:59.502399500Z,5.410,1,FOCAL_DEFECT_WITNESS_A
V_bad,16,2026-09-25T08:35:59.669860300Z,2026-09-25T08:36:04.997877000Z,5.325,1,FOCAL_DEFECT_WITNESS_A
V_bad,17,2026-09-25T08:36:05.186233300Z,2026-09-25T08:36:10.560455200Z,5.374,1,FOCAL_DEFECT_WITNESS_A
V_bad,18,2026-09-25T08:36:10.738637000Z,2026-09-25T08:36:16.121933800Z,5.382,1,FOCAL_DEFECT_WITNESS_A
V_bad,19,2026-09-25T08:36:16.300564100Z,2026-09-25T08:36:21.714382100Z,5.414,1,FOCAL_DEFECT_WITNESS_A
V_bad,20,2026-09-25T08:36:21.881604300Z,2026-09-25T08:36:27.248207100Z,5.366,1,FOCAL_DEFECT_WITNESS_A
V_ok,11,2026-09-25T08:36:27.415435700Z,2026-09-25T08:36:28.531594100Z,1.115,0,PASS
V_ok,12,2026-09-25T08:36:28.677148100Z,2026-09-25T08:36:29.723871400Z,1.046,0,PASS
V_ok,13,2026-09-25T08:36:29.873306600Z,2026-09-25T08:36:30.908065300Z,1.034,0,PASS
V_ok,14,2026-09-25T08:36:31.058726900Z,2026-09-25T08:36:32.180869400Z,1.121,0,PASS
V_ok,15,2026-09-25T08:36:32.336153200Z,2026-09-25T08:36:33.428789300Z,1.092,0,PASS
V_ok,16,2026-09-25T08:36:33.585792300Z,2026-09-25T08:36:34.662529400Z,1.078,0,PASS
V_ok,17,2026-09-25T08:36:34.817817600Z,2026-09-25T08:36:35.920899200Z,1.098,0,PASS
V_ok,18,2026-09-25T08:36:36.111585900Z,2026-09-25T08:36:37.313189600Z,1.197,0,PASS
V_ok,19,2026-09-25T08:36:37.541825100Z,2026-09-25T08:36:38.777001500Z,1.232,0,PASS
V_ok,20,2026-09-25T08:36:38.991297700Z,2026-09-25T08:36:40.310841900Z,1.327,0,PASS
