version,attempt,start_utc,end_utc,elapsed_s,exit,classification
V_bad,1,2026-09-25T09:06:51.650781500Z,2026-09-25T09:06:52.204017200Z,0.567,0,PASS
V_bad,2,2026-09-25T09:06:52.355508300Z,2026-09-25T09:06:52.965730800Z,0.610,0,PASS
V_bad,3,2026-09-25T09:06:53.128675900Z,2026-09-25T09:06:53.743282800Z,0.615,0,PASS
V_bad,4,2026-09-25T09:06:53.902521500Z,2026-09-25T09:06:54.570971200Z,0.670,0,PASS
V_bad,5,2026-09-25T09:06:54.723074700Z,2026-09-25T09:06:55.368217400Z,0.643,0,PASS
V_bad,6,2026-09-25T09:06:55.517400800Z,2026-09-25T09:06:56.094375300Z,0.577,0,PASS
V_bad,7,2026-09-25T09:06:56.245585000Z,2026-09-25T09:06:56.866343300Z,0.619,0,PASS
V_bad,8,2026-09-25T09:06:57.014490800Z,2026-09-25T09:06:57.608093400Z,0.593,0,PASS
V_bad,9,2026-09-25T09:06:57.754644300Z,2026-09-25T09:06:58.367605200Z,0.612,0,PASS
V_bad,10,2026-09-25T09:06:58.516750600Z,2026-09-25T09:06:59.124327400Z,0.607,0,PASS
V_ok,1,2026-09-25T09:06:59.291789400Z,2026-09-25T09:06:59.926357500Z,0.634,0,PASS
V_ok,2,2026-09-25T09:07:00.078049600Z,2026-09-25T09:07:00.616091600Z,0.538,0,PASS
V_ok,3,2026-09-25T09:07:00.764206000Z,2026-09-25T09:07:01.417836400Z,0.653,0,PASS
V_ok,4,2026-09-25T09:07:01.567049400Z,2026-09-25T09:07:02.183542200Z,0.616,0,PASS
V_ok,5,2026-09-25T09:07:02.335733500Z,2026-09-25T09:07:02.972303100Z,0.636,0,PASS
V_ok,6,2026-09-25T09:07:03.123505100Z,2026-09-25T09:07:03.723897500Z,0.600,0,PASS
V_ok,7,2026-09-25T09:07:03.876446100Z,2026-09-25T09:07:04.486625700Z,0.610,0,PASS
V_ok,8,2026-09-25T09:07:04.638806500Z,2026-09-25T09:07:05.268080700Z,0.629,0,PASS
V_ok,9,2026-09-25T09:07:05.417173800Z,2026-09-25T09:07:06.044033700Z,0.627,0,PASS
V_ok,10,2026-09-25T09:07:06.198417200Z,2026-09-25T09:07:06.795017600Z,0.597,0,PASS
V_bad,11,2026-09-25T09:07:06.959705300Z,2026-09-25T09:07:07.570254400Z,0.611,0,PASS
V_bad,12,2026-09-25T09:07:07.719301600Z,2026-09-25T09:07:08.354551800Z,0.635,0,PASS
V_bad,13,2026-09-25T09:07:08.508500700Z,2026-09-25T09:07:09.116361100Z,0.607,0,PASS
V_bad,14,2026-09-25T09:07:09.264275000Z,2026-09-25T09:07:09.863220600Z,0.599,0,PASS
V_bad,15,2026-09-25T09:07:10.028192900Z,2026-09-25T09:07:10.672512500Z,0.646,0,PASS
V_bad,16,2026-09-25T09:07:10.829802400Z,2026-09-25T09:07:11.466869000Z,0.636,0,PASS
V_bad,17,2026-09-25T09:07:11.624550000Z,2026-09-25T09:07:12.246791900Z,0.621,0,PASS
V_bad,18,2026-09-25T09:07:12.391881600Z,2026-09-25T09:07:13.066681000Z,0.675,0,PASS
V_bad,19,2026-09-25T09:07:13.219062300Z,2026-09-25T09:07:13.849592800Z,0.629,0,PASS
V_bad,20,2026-09-25T09:07:14.005415300Z,2026-09-25T09:07:14.603924400Z,0.599,0,PASS
V_ok,11,2026-09-25T09:07:14.772238700Z,2026-09-25T09:07:15.408276800Z,0.635,0,PASS
V_ok,12,2026-09-25T09:07:15.555692000Z,2026-09-25T09:07:16.172270600Z,0.615,0,PASS
V_ok,13,2026-09-25T09:07:16.319720200Z,2026-09-25T09:07:16.944169300Z,0.624,0,PASS
V_ok,14,2026-09-25T09:07:17.099276000Z,2026-09-25T09:07:17.738356300Z,0.639,0,PASS
V_ok,15,2026-09-25T09:07:17.882916400Z,2026-09-25T09:07:18.519270600Z,0.636,0,PASS
V_ok,16,2026-09-25T09:07:18.672887400Z,2026-09-25T09:07:19.304124500Z,0.631,0,PASS
V_ok,17,2026-09-25T09:07:19.452677500Z,2026-09-25T09:07:20.052059500Z,0.598,0,PASS
V_ok,18,2026-09-25T09:07:20.200406100Z,2026-09-25T09:07:20.838270400Z,0.638,0,PASS
V_ok,19,2026-09-25T09:07:20.994202000Z,2026-09-25T09:07:21.516924200Z,0.523,0,PASS
V_ok,20,2026-09-25T09:07:21.666158200Z,2026-09-25T09:07:22.280287000Z,0.615,0,PASS
